DATE; Napelem töltőfeszültség; Levegő-hőmérséklet; Levegő-páratartalom; Légnyomás; Széllökés; Belső akkufeszültség; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Szélirány; Talajnedvesség 60 cm; Talajhőmérséklet 0 cm; Besugárzás; Fagy; Fényegység; Csapadék; Levélnedvesség; Szélsebesség; Külső akkufeszültség
2021-02-15 00:00:00; 9,77128;  -2,68701;  78,84652;1025,86850;   7,19636;   4,21755;  26,14870;  29,67256; 308,48532;  25,92679;  -0,83749; 126,12447;-9999,00000;2365,86380;   0,00000;   0,00000;   5,36145;  13,35492
2021-02-14 00:00:00; 9,32968;  -2,92725;  76,66873;1026,17360;   9,17224;   4,21627;  26,36445;  29,93464; 302,78033;  26,18112;  -0,90050; 110,42786;-9999,00000;2384,44970;   0,00000;   0,00000;   6,89099;  13,29105
2021-02-13 00:00:00; 9,86364;  -6,76857;  73,96488;1024,92380;   7,80073;   4,21486;  26,69269;  30,72104; 303,79303;  26,58496;  -1,17688; 129,57741;-9999,00000;2390,99780;   0,00000;   0,00000;   5,75183;  13,36224
2021-01-06 00:00:00; 6,61671;   4,19036;  93,50118;1004,44824;  12,12861;   4,21541;  27,04534;  28,45428; 135,60830;  24,89889;   3,93299;  24,13273;-9999,00000;2274,85840;   0,00017;   0,08281;   9,35766;  12,66424
2021-01-05 00:00:00; 6,18203;   5,09305;  93,96988;1002,55426;  15,67581;   4,21870;  29,41700;  31,29226; 243,27243;  26,93798;   5,05299;  19,57163;-9999,00000;2038,93540;   0,00253;   0,30341;  12,20794;  12,69724
2021-02-23 00:00:00; 9,65682;   6,61826;  82,30374;1024,27990;   5,60634;   4,22382;  25,63397;  30,26921; 336,44232;  25,63927;   5,30589; 143,88226;-9999,00000;2431,05350;   0,00000;   0,12083;   3,99063;  13,22822
2021-02-22 00:00:00; 9,73708;   5,09050;  84,27022;1020,99200;   6,51480;   4,22278;  25,69215;  30,28886; 100,06480;  25,60776;   4,19113; 148,75351;-9999,00000;2453,35990;   0,00017;   0,38831;   4,87437;  13,23542
2021-02-21 00:00:00; 9,45465;   2,92363;  91,70336;1021,78560;   7,25109;   4,22136;  25,66684;  30,40633;  87,66905;  25,54821;   3,19309; 106,81083;-9999,00000;2436,96730;   0,00000;   0,63693;   5,53907;  13,20521
2021-02-18 00:00:00; 9,48266;   3,62050;  85,58656;1012,55853;   6,14740;   4,21907;  25,82594;  29,95789; 325,12020;  25,58809;   1,79296; 135,47786;-9999,00000;2354,05900;   0,00000;   0,29318;   4,54769;  13,20183
2021-02-20 00:00:00; 7,52491;   3,00163;  91,64936;1018,45730;   6,82791;   4,21704;  25,76618;  30,56300;  17,77876;  25,55103;   3,05445;  25,26001;-9999,00000;2310,36250;   0,00084;   0,10933;   5,10268;  12,94551
2021-02-17 00:00:00; 7,74076;   0,92951;  82,24404;1010,60440;  10,38450;   4,21465;  25,91280;  29,69181; 182,70656;  25,60429;  -0,17461;  37,77817;-9999,00000;2320,70580;   0,00000;   0,01884;   8,02172;  13,08448
2021-01-31 00:00:00; 7,57085;   0,29865;  83,42944; 994,85840;  24,52647;   4,20782;  26,64778;  30,05297;  23,57327;  26,76093;   1,17599;  47,03312;-9999,00000;2281,74730;   0,00000;   0,00000;  19,87527;  13,13686
2021-01-30 00:00:00; 8,39300;   6,55563;  86,14683; 991,00100;  13,39005;   4,21071;  27,04033;  31,28089; 237,36075;  27,29149;   4,65547;  83,01543;-9999,00000;2313,43120;   0,00000;   0,00000;  10,60779;  13,09354
2021-02-26 00:00:00; 9,59422;   9,83141;  73,49186;1017,74440;   5,55715;   4,22074;  25,60148;  30,03738; 188,70915;  25,58793;   7,53137; 144,51433;-9999,00000;2460,50420;   0,00000;   0,24255;   3,92020;-9999,00000
2021-01-29 00:00:00; 6,79906;   3,33280;  94,59927; 993,27150;  16,58641;   4,21137;  26,41280;  32,46483; 199,17584;  27,51448;   2,06386;  20,39354;-9999,00000;2214,20140;   0,00304;   0,00000;  13,07592;  12,83270
2021-02-24 00:00:00; 9,52663;   7,58122;  80,09122;1027,69260;   4,43948;   4,22327;  25,64022;  30,19763; 255,94920;  25,66644;   6,02960; 135,27661;-9999,00000;2390,39580;   0,00000;   0,36155;   3,09294;  13,20870
2021-02-25 00:00:00; 9,48236;   9,09803;  73,62611;1024,85910;   4,55755;   4,22276;  25,61618;  30,12984; 168,12280;  25,64104;   7,00719; 139,72028;-9999,00000;2461,98540;   0,00000;   0,00000;   3,13669;  13,14710
2021-01-16 00:00:00; 7,81995;  -3,89772;  81,04088;1010,94120;   6,06186;   4,21035;  24,69532;  26,21014; 236,04681;  23,09004;  -0,73496;  55,82095;-9999,00000;2189,88960;   0,00000;   0,00000;   4,46288;  13,07908
2021-01-15 00:00:00; 7,18188;  -2,17841;  87,64658;1008,06740;  11,48474;   4,21192;  24,84426;  26,54738; 300,65594;  23,20752;  -0,31657;  45,09894;-9999,00000;2205,52560;   0,00000;   0,00000;   8,92006;  13,00363
2021-02-04 00:00:00; 8,84802;   9,32640;  77,96090;1004,95550;  18,90791;   4,20209;  26,45275;  29,94437; 245,47054;  26,63983;   7,06839; 105,32517;-9999,00000;2307,72700;   0,00034;   0,00000;  15,02302;  13,11026
2021-02-03 00:00:00; 7,88291;   6,54713;  90,66122;1003,93884;  19,60346;   4,20540;  26,58081;  30,32848; 177,89046;  26,69003;   4,78609;  62,32656;-9999,00000;2256,11740;   0,00017;   0,47361;  15,21629;  12,99651
2021-02-01 00:00:00; 6,91916;  -0,46527;  92,70197; 994,80206;   7,04641;   4,20506;  26,68227;  31,62250; 268,81840;  27,29814;   0,40021;  27,87377;-9999,00000;2138,65900;   0,00136;   0,00000;   5,28644;  12,93017
2021-02-02 00:00:00; 7,00504;   0,93198;  96,65810;1004,23126;   8,92246;   4,20188;  26,87509;  31,81548; 207,25041;  27,02830;   1,23105;  21,07747;-9999,00000;2189,48270;   0,00203;   0,28073;   6,62899;  12,77206
2021-02-06 00:00:00; 6,96372;   4,99648;  97,43308;1004,72380;   8,12419;   4,19812;  25,89707;  29,77943;  30,37058;  25,98607;   5,02222;  15,31907;-9999,00000;2198,37280;   0,00000;   0,99374;   6,19928;  12,73118
2021-01-20 00:00:00; 7,48337;   1,87583;  87,50066;1009,98676;  17,76667;   4,20979;  24,48378;  26,04458; 176,98291;  22,79566;  -0,18045;  54,33498;-9999,00000;2270,28880;   0,00000;   0,00000;  14,00362;  12,96703
2021-01-21 00:00:00; 8,27779;   4,81332;  84,26098;1007,68506;  23,71356;   4,21725;  24,58032;  27,37917; 167,42723;  23,13411;   1,88860;  80,64606;-9999,00000;2249,75680;   0,00000;   0,00000;  18,84271;  13,13419
2021-01-18 00:00:00; 8,13257;  -5,61159;  88,78414;1014,82830;   6,63338;   4,20883;  24,50162;  25,36894; 236,25060;  22,92656;  -1,29816;  75,83688;-9999,00000;2297,36870;   0,00000;   0,00000;   4,90233;  13,13064
2021-01-19 00:00:00; 6,82225;  -1,32342;  91,17390;1013,68896;  14,90850;   4,20662;  24,43978;  24,92845; 185,48296;  22,81443;  -0,75342;  35,37756;-9999,00000;2361,94920;   0,00034;   0,00000;  11,70225;  12,89302
2021-01-17 00:00:00; 7,04461;  -3,72320;  90,01352;1009,58480;   6,54764;   4,20716;  24,59163;  25,75802; 288,24597;  22,98464;  -0,86583;  54,84065;-9999,00000;2272,47920;   0,00017;   0,00000;   4,82618;  12,95515
2021-02-10 00:00:00; 7,25044;   5,94936;  91,82364; 995,82710;   9,22206;   4,20042;  27,58119;  33,24907; 156,67021;  27,68999;   5,42330;  35,39621;-9999,00000;2273,21660;   0,00269;   0,55038;   7,05624;  12,85657
2021-02-09 00:00:00; 7,51247;   5,30496;  90,20938; 994,17096;  11,17112;   4,20192;  27,99042;  34,24589; 167,89111;  28,12251;   4,75788;  50,88772;-9999,00000;2309,82500;   0,00202;   0,10926;   8,69964;  12,88352
2021-02-08 00:00:00; 6,97508;   6,33227;  87,58203; 987,99414;  20,20332;   4,19657;  28,48824;  33,62081; 191,07883;  28,72890;   5,57456;  21,18513;-9999,00000;2227,63620;   0,00892;   0,22238;  15,58327;  12,71327
2021-02-07 00:00:00; 7,23392;   5,53519;  91,17054; 996,69080;  10,48592;   4,19530;  26,05427;  29,50986;  71,28057;  26,05030;   5,01415;  40,18961;-9999,00000;2234,51220;   0,00017;   0,11134;   8,14513;  12,87086
2021-03-13 00:00:00; 10,31692;   8,35225;  73,80675;1004,65810;  16,15767;   4,22469;  24,95650;  26,86484; 189,33449;  24,25616;   7,12713; 181,72620;-9999,00000;2507,45970;   0,00017;   0,00000;  12,51044;-9999,00000
2021-02-05 00:00:00; 7,04415;   5,84165;  89,35989;1008,46780;   7,05051;   4,19967;  26,27687;  29,60159; 115,31158;  26,39913;   4,95987;  20,06662;-9999,00000;2248,25500;   0,00034;   0,02990;   5,40909;  12,90155
2021-03-01 00:00:00; 10,21519;   4,00022;  72,86213;1023,11523;  12,12861;   4,22538;  25,43894;  29,04360;  32,23089;  25,34615;   4,20486; 161,09628;-9999,00000;2518,05350;   0,00000;   0,00000;   9,41257;-9999,00000
