DATE; Talajhőmérséklet 0 cm; Szélirány; Talajnedvesség 30 cm; Széllökés; Levegő-hőmérséklet; Szélsebesség; Csapadék; Talajnedvesség 90 cm; Besugárzás; Levegő-páratartalom; Talajnedvesség 60 cm
2021-01-08 13:00:00; 4,20601; 329,50922;  11,19481;   2,39501;   4,02932;   1,73324;   0,00000;  17,45563;  70,53309;  79,27883;  11,91564
2021-01-08 10:00:00; 4,04850; 350,29500;  11,24085;   1,38697;   3,00928;   0,76757;   0,00000;  17,47103;  47,53277;  89,14087;  11,92764
2021-01-08 11:00:00; 4,11840; 343,44238;  11,23079;   1,84240;   3,84272;   0,98284;   0,00000;  17,45953;  68,97277;  83,06052;  11,92042
2021-01-08 09:00:00; 3,99360;  17,92997;  11,24195;   1,68315;   2,32574;   1,08415;   0,00000;  17,47926;  51,60051;  91,97108;  11,94254
2021-01-08 08:00:00; 3,95563;  52,51018;  11,24762;   1,75801;   1,92336;   1,22584;   0,00000;  17,48890;  45,34271;  93,00488;  11,94413
2021-01-08 07:00:00; 3,94827;  53,71346;  11,25170;   1,60938;   1,68315;   1,09205;   0,00000;  17,48990;  15,84182;  93,70929;  11,94159
2021-01-08 05:00:00; 3,98856;  42,42669;  11,26589;   1,49994;   1,67051;   0,98218;   0,00000;  17,50138;   0,00000;  92,91201;  11,95729
2021-01-08 06:00:00; 3,96701;  61,17870;  11,25525;   1,64041;   1,49277;   1,17825;   0,00000;  17,49077;   1,99599;  94,21705;  11,94523
2021-01-08 04:00:00; 4,00816;  17,12031;  11,27857;   1,23671;   1,93131;   0,77771;   0,00000;  17,50736;   0,00000;  93,45813;  11,95838
2021-01-08 03:00:00; 4,02750;   7,26073;  11,28388;   0,95550;   1,92199;   0,63050;   0,00000;  17,51889;   0,00000;  94,53957;  11,95458
2021-01-08 02:00:00; 4,03438;  14,04739;  11,29378;   0,87084;   2,18520;   0,54589;   0,00000;  17,52096;   0,00000;  94,26269;  11,96023
2021-01-08 01:00:00; 4,06554; 338,86750;  11,29902;   0,83028;   1,62379;   0,46329;   0,00000;  17,51797;   0,00000;  95,49367;  11,97779
2021-01-09 19:00:00; 3,35641; 341,22107;  10,91517;   0,31796;  -2,17914;   0,12625;   0,00000;  17,32838;   0,00000;  95,18243;  11,76854
2021-01-09 20:00:00; 3,23400; 338,04367;  10,91352;   0,33892;  -1,92246;   0,08748;   0,00000;  17,32200;   0,00000;  96,25233;  11,76169
2021-01-09 21:00:00; 3,15967; 340,60403;  10,91283;   0,30598;  -1,78519;   0,08229;   0,00000;  17,31140;   0,00000;  95,82745;  11,76020
2021-01-09 17:00:00; 3,63432;  27,76447;  10,93870;   0,40126;  -0,77814;   0,11240;   0,00000;  17,34340;   0,00000;  91,62556;  11,78444
2021-01-09 18:00:00; 3,50169;   2,75877;  10,92905;   0,40316;  -1,35590;   0,17537;   0,00000;  17,33833;   0,00000;  93,74738;  11,77504
