DATE; Talajnedvesség 90 cm; Besugárzás; Levélnedvesség; Külső akkufeszültség; Széllökés; Talajnedvesség 30 cm; Levegő-páratartalom; Légnyomás; Talajhőmérséklet 0 cm; Napelem töltőfeszültség; Csapadék; Szélirány; Belső akkufeszültség; Fagy; Szélsebesség; Fényegység; Talajnedvesség 60 cm; Levegő-hőmérséklet
2021-03-02 19:50:00; 24,39800;   0,00000;   0,00000;-9999,00000;   1,50000;  25,70700;  78,41666;1023,40010;   5,63333;   0,00000;   0,00000; 301,58340;   4,22933;-9999,00000;   0,00000; 105,66666;  22,37499;   4,10000
2021-03-02 19:40:00; 24,39800;   0,00000;   0,00000;-9999,00000;   2,00000;  25,70700;  77,27000;1023,40000;   5,80000;   0,00000;   0,00000; 301,93542;   4,22900;-9999,00000;   0,00000;  26,00000;  22,37500;   4,60000
2021-03-02 20:00:00; 24,39800;   0,00000;   0,00000;-9999,00000;   1,00000;  25,70700;  79,80000;1023,50000;   5,60000;   0,00000;   0,00000; 301,93542;   4,17500;-9999,00000;   0,00000;3895,00000;  22,37500;   3,60000
2021-03-02 19:00:00; 24,39800;   0,00000;   0,00000;-9999,00000;   2,00000;  25,70699;  77,43000;1023,30000;   6,06667;   0,00000;   0,00000; 301,81808;   4,22767;-9999,00000;   0,66667;  67,33334;  22,37499;   5,10000
2021-03-02 19:20:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,66667;  25,70699;  78,12333;1023,40010;   5,90000;   0,00000;   0,00000; 301,70074;   4,22833;-9999,00000;   0,00000;  61,33333;  22,37499;   4,50000
2021-03-02 19:10:00; 24,39800;   0,00000;   0,00000;-9999,00000;   2,00000;  25,70700;  77,13000;1023,20000;   6,00000;   0,00000;   0,00000; 301,93542;   4,22900;-9999,00000;   0,00000;  27,00000;  22,37500;   5,00000
2021-03-02 18:30:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,00000;  25,70700;  79,50500;1023,60000;   6,40000;   0,00000;   0,00000; 301,75943;   4,22750;-9999,00000;   0,00000;  12,50000;  22,37500;   4,75000
2021-03-02 18:40:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,00000;  25,70700;  79,73000;1023,55000;   6,30000;   0,00000;   0,00000; 301,93542;   4,22850;-9999,00000;   0,00000;  31,00000;  22,37500;   4,70000
2021-03-02 18:50:00; 24,39800;   0,00000;   0,00000;-9999,00000;   1,00000;  25,70700;  79,83500;1023,40000;   6,25000;   0,00000;   0,00000; 301,58340;   4,22950;-9999,00000;   0,00000;  23,00000;  22,37500;   4,70000
2021-03-02 18:10:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,00000;  25,70700;  76,61000;1023,50000;   6,60000;   0,00000;   0,00000; 301,58340;   4,22700;-9999,00000;   0,00000;  13,00000;  22,37500;   5,50000
2021-03-02 18:00:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,00000;  25,70700;  75,73500;1023,45000;   6,65000;   0,00000;   0,00000; 301,75943;   4,23000;-9999,00000;   0,00000;  54,00000;  22,37500;   5,80000
2021-03-02 18:20:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,00000;  25,70700;  77,86500;1023,50000;   6,55000;   0,00000;   0,00000; 301,75943;   4,22900;-9999,00000;   0,00000;  18,50000;  22,37500;   5,10000
2021-03-02 17:30:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,00000;  25,70700;  74,78500;1023,55000;   7,05000;   0,00000;   0,00000; 301,75943;   4,23150;-9999,00000;   0,00000;   9,50000;  22,25600;   6,30000
2021-03-02 17:40:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,00000;  25,58800;  75,02000;1023,40000;   6,90000;   0,00000;   0,00000; 301,93542;   4,22800;-9999,00000;   0,00000;  11,00000;  22,37500;   6,20000
2021-03-02 17:50:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,00000;  25,70699;  75,04667;1023,40010;   6,83333;   0,00000;   0,00000; 301,70074;   4,23033;-9999,00000;   0,00000;  20,33333;  22,37499;   6,10000
2021-03-02 17:00:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,00000;  25,70700;  69,15000;1023,55000;   7,40000;   0,04100;   0,00000; 301,58340;   4,23050;-9999,00000;   0,00000;  17,50000;  22,37500;   7,85000
2021-03-02 17:10:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,00000;  25,70700;  71,39500;1023,50000;   7,30000;   0,00000;   0,00000; 301,58340;   4,22750;-9999,00000;   0,00000; 131,00000;  22,37500;   7,30000
2021-03-02 17:20:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,00000;  25,70699;  72,37333;1023,46660;   7,16667;   0,00000;   0,00000; 301,70074;   4,22867;-9999,00000;   0,00000;  74,66666;  22,37499;   6,90000
2021-03-02 16:30:00; 24,39800;   5,00000;   0,00000;-9999,00000;   0,00000;  25,70700;  61,57000;1023,40000;   7,80000;  11,30500;   0,00000; 301,75943;   4,22800;-9999,00000;   0,00000;  43,50000;  22,31550;  10,00000
2021-03-02 16:40:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,00000;  25,70700;  65,77500;1023,45000;   7,65000;   6,22750;   0,00000; 301,75943;   4,22850;-9999,00000;   0,00000;  19,00000;  22,37500;   9,15000
2021-03-02 16:50:00; 24,39800;   0,00000;   0,00000;-9999,00000;   0,00000;  25,70700;  68,58000;1023,50000;   7,55000;   1,03850;   0,00000; 301,75943;   4,22700;-9999,00000;   0,00000;  15,00000;  22,37500;   8,35000
2021-03-02 15:50:00; 24,39800;  60,00000;   0,00000;-9999,00000;   3,66667;  25,70699;  53,36000;1023,33330;   8,13333;  16,84600;   0,00000; 301,58340;   4,22767;-9999,00000;   0,33333;1193,33340;  22,37499;  12,13333
