DATE; Besugárzás; Levegő-hőmérséklet; Levegő-páratartalom; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Talajnedvesség 90 cm; Csapadék; Szélirány; Széllökés; Talajhőmérséklet 0 cm; Szélsebesség; Levélnedvesség
2021-03-26 11:00:00; 513,09890;  13,94922;  46,19218;  49,64194;  31,17263;  27,14880;   0,00000; 144,00606;   2,51860;   5,62406;   1,32731;-9999,00000
2021-03-26 11:20:00; 656,63574;  14,44153;  44,91655;  49,63822;  31,19104;  27,14880;   0,00000; 236,88727;   2,11027;   5,80891;   0,87072;-9999,00000
2021-03-26 11:10:00; 651,34106;  14,43966;  45,24600;  49,64103;  31,18835;  27,14880;   0,00000;  38,30072;   1,81953;   5,71567;   0,86549;-9999,00000
2021-03-26 11:40:00; 649,88965;  15,01908;  44,81690;  49,62655;  31,17500;  27,14844;   0,00000; 123,90856;   0,89343;   5,99829;   0,43071;-9999,00000
2021-03-26 16:30:00; 17,36405;  13,36034;  46,92630;  49,61610;  31,22074;  27,10619;   0,00000;  55,54778;   0,21723;   7,26214;   0,03953;-9999,00000
2021-03-26 15:40:00; 146,89565;  15,62992;  42,22211;  49,59915;  31,22000;  27,10620;   0,00000; 132,47961;   1,18580;   7,27669;   0,66586;-9999,00000
2021-03-26 15:50:00; 132,11284;  15,58731;  41,88564;  49,59736;  31,22000;  27,10619;   0,00000; 148,50659;   0,97510;   7,27743;   0,75252;-9999,00000
2021-03-26 16:20:00; 24,60499;  14,06470;  44,67460;  49,61110;  31,22973;  27,10619;   0,00000; 145,02487;   0,39200;   7,26883;   0,21478;-9999,00000
2021-03-26 16:10:00; 61,26320;  14,89156;  42,93118;  49,60932;  31,22169;  27,10619;   0,00000; 148,75246;   0,76277;   7,27884;   0,43179;-9999,00000
2021-03-26 15:20:00; 184,97324;  15,68130;  40,88970;  49,60067;  31,22335;  27,10655;   0,00000; 180,13695;   1,83097;   7,25772;   0,79609;-9999,00000
2021-03-26 15:30:00; 174,07655;  15,57091;  41,56530;  49,59566;  31,22000;  27,10619;   0,00000; 161,56432;   1,61047;   7,27273;   0,96791;-9999,00000
2021-03-26 16:00:00; 101,99727;  15,37167;  42,47089;  49,60419;  31,22041;  27,10620;   0,00000; 137,55444;   0,71540;   7,27775;   0,40761;-9999,00000
2021-03-26 16:40:00; 12,47119;  12,85246;  47,21740;  49,61975;  31,21886;  27,10619;   0,00000;  85,21999;   0,41813;   7,23687;   0,23112;-9999,00000
2021-03-26 16:50:00; 3,14944;  12,37861;  48,08200;  49,62111;  31,22000;  27,10619;   0,00000;  60,17595;   0,33157;   7,23303;   0,11450;-9999,00000
2021-03-26 17:00:00; 0,00000;  11,57906;  51,12000;  49,62248;  31,20612;  27,10619;   0,00000;  77,60735;   0,33157;   7,21507;   0,13851;-9999,00000
