DATE; Légnyomás; Fagy; Napelem töltőfeszültség; Talajnedvesség 90 cm; Levegő-hőmérséklet; Széllökés; Talajnedvesség 30 cm; Talajnedvesség 60 cm; Fényegység; Talajnedvesség 120 cm; Csapadék; Külső akkufeszültség; Besugárzás; Levélnedvesség; Belső akkufeszültség; Szélsebesség; Levegő-páratartalom; Talajhőmérséklet 0 cm; Szélirány
2021-03-24 00:00:00; 1012,32310;-9999,00000;   9,60540;  34,33781;   4,29788;   4,33096;  30,27671;  32,60602;1987,78120;-9999,00000;   0,00152;-9999,00000;  85,19231;   5,03496;   4,24483;   0,31673;  75,28358;   4,74646;  22,06837
2021-03-23 00:00:00; 1010,15204;-9999,00000;  10,87866;  34,39312;   5,28936;   4,60854;  30,16907;  32,58030;2056,14580;-9999,00000;   0,00000;-9999,00000; 151,66084;   5,01742;   4,24612;   0,36655;  51,90435;   3,80461;  14,54358
2021-03-22 00:00:00; 1003,47107;-9999,00000;   9,64786;  34,41128;   2,75496;  10,12500;  30,23576;  32,60897;1994,02090;-9999,00000;   0,00000;-9999,00000;  71,74825;   5,03496;   4,24524;   2,68214;  66,65438;   3,68829;  45,95870
2021-01-11 00:00:00; 1012,58466;-9999,00000;   6,07142;  34,40032;  -0,51459;  10,17563;  30,31026;  32,63394;1497,80910;-9999,00000;   0,00000;  12,78270;  20,56140;   5,03496;   4,23697;   6,53405;  92,20959;   0,99324;  52,96128
2021-01-10 00:00:00; 1015,11880;-9999,00000;   5,98168;  34,51174;  -1,84286;  11,96071;  30,39837;  32,73306;1414,89930;-9999,00000;   0,00000;  12,76666;  12,94737;   5,05263;   4,24229;   6,43929;  98,71149;   1,01317;  84,65447
2021-01-09 00:00:00; 1013,23030;-9999,00000;   7,58990;  34,62176;  -0,43096;   0,85000;  30,61433;  32,83643;1596,57290;-9999,00000;   0,00000;  13,08852;  55,31579;   5,05263;   4,24404;   0,31786;  93,40735;   1,60534;  29,71259
2021-01-08 00:00:00; 1007,97076;-9999,00000;   6,27704;  34,63150;   0,00320;   0,78571;  30,90743;  32,88588;1645,31950;-9999,00000;   0,00000;  12,90676;  26,98246;   5,05263;   4,24198;   0,37500;  96,54599;   2,26406;  42,96413
2021-01-07 00:00:00; 1006,98990;-9999,00000;   7,52092;  34,63192;   1,85106;   3,59643;  31,01941;  32,84065;1696,87160;-9999,00000;   0,00305;  13,05180;  53,08772;   5,03496;   4,24446;   1,56071;  93,58267;   3,57943; 345,55746
2021-02-05 00:00:00; 1008,72186;-9999,00000;   6,65534;  34,71020;   5,32340;   0,55160;  31,35504;  32,99707;1490,31250;-9999,00000;   0,00000;  12,89745;  20,78671;   5,01742;   4,24103;   0,01779;  94,32282;   4,43180; 178,09843
2021-01-18 00:00:00; 1015,55237;-9999,00000;   7,96420;  34,73014;  -5,43821;   3,09319;  30,24175;  32,65232;1599,29160;-9999,00000;   0,00000;  13,17966;  55,14134;   5,07042;   4,24646;   0,68817;  84,69052;  -0,33286; 359,87500
