DATE; Talajnedvesség 90 cm; Napelem töltőfeszültség; Levegő-páratartalom; Belső akkufeszültség; Besugárzás; Talajnedvesség 60 cm; Fényegység; Széllökés; Talajhőmérséklet 0 cm; Fagy; Levegő-hőmérséklet; Csapadék; Szélirány; Légnyomás; Levélnedvesség; Szélsebesség; Talajnedvesség 30 cm; Külső akkufeszültség
2021-02-10 00:00:00; 25,64120;   7,19137;  92,16974;   4,21665;  39,77273;  23,92362; 502,62717;  10,85714;   6,51832;-9999,00000;   6,71134;   0,00873; 220,08966; 994,65857;   3,28070;   5,68214;  28,24864;  12,83685
2021-02-08 00:00:00; 24,86690;   6,82406;  89,44611;   4,19591;  16,52098;  23,15391; 361,28473;  13,54286;   6,18457;-9999,00000;   6,63240;   0,03810; 238,40723; 986,87115;   4,52632;   6,41786;  27,99573;  12,60114
2021-01-11 00:00:00; 24,68937;   6,22745;  94,97217;   4,20843;  18,80702;  22,54635; 500,62500;   3,41727;   1,30951;-9999,00000;  -0,46560;   0,00239;  17,61894;1010,23990;   3,16901;   0,71583;  26,30316;  12,29637
2021-01-10 00:00:00; 24,81302;   6,22898;  96,81789;   4,21599;  17,27113;  22,62933; 457,58334;   8,07527;   1,16891;-9999,00000;  -1,88434;   0,00000;  67,09814;1012,85310;   3,46831;   2,65233;  26,48326;  12,35537
2021-01-09 00:00:00; 24,95971;   6,78324;  95,59709;   4,21932;  46,87279;  22,83886; 580,72570;   3,08993;   1,40777;-9999,00000;  -2,14448;   0,00000; 167,32695;1011,49646;   3,56890;   0,85252;  26,60655;  12,53007
2021-02-03 00:00:00; 25,37724;   7,44975;  92,23210;   4,20749;  57,81469;  23,34784; 585,14930;  15,00712;   4,59089;-9999,00000;   6,59222;   0,00079; 220,93652;1003,07750;   2,23776;   7,86833;  27,51552;  12,86329
2021-01-08 00:00:00; 25,10984;   6,32908;  92,83725;   4,21703;  20,19298;  23,04220; 525,14233;   4,88889;   2,29964;-9999,00000;   0,50887;   0,00000;  37,61840;1005,76740;   3,02817;   1,25448;  26,80761;  12,24945
2021-02-02 00:00:00; 25,70706;   6,86564;  95,82130;   4,20544;  21,00000;  23,73892; 280,38196;   7,27240;   2,57429;-9999,00000;   1,71873;   0,00556; 232,82928;1003,06440;   1,78947;   3,30466;  27,92701;  12,65090
2021-02-17 00:00:00; 24,82673;   7,68280;  82,93217;   4,21827;  35,75704;  22,85989; 393,41116;   8,18705;   1,21025;-9999,00000;   1,26064;   0,00080; 240,68887;1009,47550;   1,07394;   4,24820;  26,73135;  12,96672
2021-02-15 00:00:00; 25,07590;   9,14113;  79,53069;   4,23228; 111,49648;  23,14057; 805,97925;   4,56272;   0,68873;-9999,00000;  -1,98156;   0,00000; 331,25992;1024,42490;   0,36842;   1,51971;  27,21348;  13,21571
2021-02-14 00:00:00; 25,24702;   8,72021;  77,99254;   4,22874; 100,68662;  23,30140; 765,42706;   4,72302;   1,02367;-9999,00000;  -2,59146;   0,00080; 349,03940;1024,70620;   0,26502;   1,25899;  27,32305;  13,14049
