"NEV","GPS_HOSSZUSAG","GPS_SZELESSEG"
OVF_Nagybánhegyes,20.9119,46.4894
OVF_Gyula,21.1847,46.5878
OVF_Szeghalom,21.0903,47.09
OVF_Dávod,18.9386,45.9975
OVF_Kalocsa,18.9836,46.5064
OVF_Harta,19.1289,46.6464
OVF_Sükösd,18.9417,46.305
OVF_Katymár,19.2067,46.0036
OVF_Kálmáncsa,17.6294,46.0744
OVF_Szederkény,18.4356,45.9944
OVF_Lickóvadamos,16.7761,46.7544
OVF_Vasszécseny,16.7764,47.1867
OVF_Mezõtúr,20.5128,47.0042
OVF_Nagykõrös,19.8211,47.0356
D_HÓDMEZÕVÁSÁRHELY_1,20.41293,46.46302
KÖ_ÕRBOTTYÁN_1053,19.248615,47.673386
DD_BORJÁD,18.47868,45.93737
ÉD_RÁBAPORDÁNY,17.32988,47.56441
ÉK_Nagycsécs,,
Szalkszentmárton,,
ÉK_ÖMBÖLY,22.22378,47.70135
ÉK_HAJDÚSZOBOSZLÓ1,21.28187,47.399
MF_SZÁNTÁS,21.21032,47.43109
MF_LAZÍTÁS1,21.21053,47.42984
MF_LAZÍTÁS2,21.21075,47.42872
MF_SÁVOS,21.21098,47.42756
OVF_Kétsoprony,20.8775,46.7178
OVF_Oszkó,16.8847,47.0294
OVF_Magyaregregy,18.3097,46.2331
ÉD_TATA,18.28212,47.65892
ÉD_TATA1,18.28254475,47.65860612
ÉD_TATA6,18.28188803,47.65913757
ÉD_TATA5,18.28207,47.659005
ÉD_KAJÁSZÓ,18.69971,47.32963
ÉK_BORSODSZIRÁK,20.73493,48.23193
D_BATTONYA,21.06783,46.35407
ÉD_TATA2,18.28242145,47.65874551
ÉD_TATA3,18.2822741,47.65885276
ÉD_TATA4,18.28210806,47.6589515
ÉK_XXX,,
ÉD_ZALAKOMÁR,17.17955,46.51322
KÖ_TISZASZENTIMRE3,20.69617175,47.48009115
DD_DALMAND,18.18997409,46.49482819
D_DUSNOK,18.96669,46.340907
OVF_Berzence,17.15101,46.21193
OVF_Bodony,20.0194,47.9486
OVF_Bõny,17.866667,47.65
OVF_Létavértes,21.8367,47.3842
OVF_Nagykanizsa,16.9975,46.455833
OVF_Jászberény,19.9444,47.5025
OVF_Szentmártonkáta,19.693081,47.447419
OVF_Pusztaszabolcs,18.7594,47.141269
OVF_Csaroda,22.45874,48.16044
OVF_Zsadány,21.48675,46.92192
OVF_Nagybajom,17.511,46.3918
OVF_Annavölgy,18.661317,47.69534
OVF_Demecser,21.92021,48.11379
OVF_Gyomaendrõd,20.82345,46.936281
OVF_Magyarlak,16.34873,46.95215
OVF_Tiszaeszlár,21.5064,48.0483
OVF_Mór,18.2087,47.37181
OVF_Kunmadaras,20.7556,47.3856
OVF_Csolnok,18.71699,47.69017
KÖ_LÕRINCI1,19.70958,47.71504
KÖ_LÕRINCI2,19.71006,47.72983
KÖ_TISZAVÁRKONY,20.12962,47.0629
ÉD_MOSONSZOLNOK,17.15848,47.84952
OVF_Csókakõ,18.2276,47.3543
OVF_Vasszentmihály,16.406189,46.969769
ÉK_KÖRÖSÚJFALU,21.41329,46.96069
ÉK_BIHARKERESZTES,21.73096,47.13193
ÉK_LEGYESBÉNYE,21.11894,48.15654
