DATE; Széllökés; Talajnedvesség 30 cm; Talajnedvesség 90 cm; Besugárzás; Csapadék; Talajnedvesség 60 cm; Szélsebesség; Levegő-páratartalom; Levegő-hőmérséklet; Talajhőmérséklet 0 cm; Szélirány; Levélnedvesség
2021-04-01 14:00:00; 3,22447;  30,31715;  27,14618; 301,67673;   0,00000;  49,03421;   2,42739;  47,74242;  23,13297;  11,12018; 186,82777;-9999,00000
2021-04-01 13:00:00; 3,00261;  30,32891;  27,14937; 433,88528;   0,00000;  49,08031;   2,04648;  48,65707;  23,51570;  10,85236; 181,40373;-9999,00000
2021-04-01 12:00:00; 2,67676;  30,32773;  27,14909; 613,87805;   0,00000;  49,12114;   1,72837;  48,77274;  23,73031;  10,43942; 174,22722;-9999,00000
2021-04-01 10:00:00; 2,82866;  30,37313;  27,19140; 487,43713;   0,00000;  49,18727;   1,82772;  53,64883;  21,20335;   9,47500; 186,57532;-9999,00000
2021-04-01 11:00:00; 2,70398;  30,34612;  27,18187; 621,18555;   0,00000;  49,15698;   1,81259;  51,47177;  22,30559;   9,95744; 197,63869;-9999,00000
2021-04-01 09:00:00; 2,46252;  30,39719;  27,19140; 562,49036;   0,00000;  49,23407;   1,35603;  56,10039;  20,55317;   8,97269; 195,05957;-9999,00000
2021-04-01 08:00:00; 1,97987;  30,40839;  27,21267; 489,63037;   0,00000;  49,28305;   1,15311;  63,75135;  18,95873;   8,52121; 182,55661;-9999,00000
2021-04-01 05:00:00; 0,67647;  30,34340;  27,19932; 110,70132;   0,00000;  49,32865;   0,47331;  94,24184;   9,20832;   8,04295; 102,16143;-9999,00000
2021-04-01 04:00:00; 0,21179;  30,32564;  27,19146;  10,57206;   0,00000;  49,32666;   0,04416;  99,99799;   6,63896;   8,16054;  21,41084;-9999,00000
2021-04-01 07:00:00; 1,60529;  30,40989;  27,23320; 359,26400;   0,00000;  49,30441;   1,13414;  71,11053;  16,75790;   8,19990; 178,97830;-9999,00000
2021-04-01 06:00:00; 1,56201;  30,40070;  27,23206; 274,69180;   0,00000;  49,33841;   1,00195;  80,37002;  13,63393;   8,03571; 174,66228;-9999,00000
2021-04-01 03:00:00; 0,19219;  30,35153;  27,19169;   0,00000;   0,00000;  49,34306;   0,07054;  99,99799;   6,25505;   8,31758;  19,65111;-9999,00000
2021-04-01 01:00:00; 0,00000;  30,37906;  27,20577;   0,00000;   0,00000;  49,33899;   0,00000;  98,91239;   6,27852;   8,67452;   0,00000;-9999,00000
2021-04-01 02:00:00; 0,28611;  30,37152;  27,19604;   0,00000;   0,00000;  49,34504;   0,11637;  99,78189;   5,82421;   8,48911;  43,84393;-9999,00000
2021-04-01 00:00:00; 0,11842;  30,41795;  27,20865;   0,00000;   0,00000;  49,32248;   0,03406;  98,14649;   7,29832;   8,86283;  19,38488;-9999,00000
2021-03-30 22:00:00; 0,58392;  30,63762;  27,16762;   0,00000;   0,00000;  49,39179;   0,28636;  75,16733;   9,20775;   8,69845; 339,38293;-9999,00000
2021-03-30 23:00:00; 0,75623;  30,65065;  27,18444;   0,00000;   0,00000;  49,39041;   0,58895;  72,92538;   9,48310;   8,54550; 315,40683;-9999,00000
2021-03-31 21:00:00; 0,23139;  30,48580;  27,19134;   0,00000;   0,00000;  49,29673;   0,07378;  93,18366;   9,12019;   9,47773;  26,27613;-9999,00000
2021-03-31 20:00:00; 0,15871;  30,51693;  27,19134;   0,00000;   0,00000;  49,29484;   0,05485;  90,70126;  10,44511;   9,69522;  30,96096;-9999,00000
2021-03-31 19:00:00; 0,06860;  30,51785;  27,19128;   0,00000;   0,00000;  49,26841;   0,01347;  86,42321;  11,69922;   9,92003;   7,39963;-9999,00000
2021-03-31 17:00:00; 0,41922;  30,57469;  27,15700;   0,18226;   0,00000;  49,24275;   0,24254;  69,53333;  15,60253;  10,27787; 351,86014;-9999,00000
2021-03-31 18:00:00; 0,20852;  30,55322;  27,18015;   0,00000;   0,00000;  49,24837;   0,07712;  79,99630;  13,16075;  10,13405;  52,93745;-9999,00000
2021-03-31 16:00:00; 1,85628;  30,58309;  27,15511;  45,72317;   0,00000;  49,24250;   1,50459;  62,30578;  17,89298;  10,33053;   2,46274;-9999,00000
