DATE; Napelem töltőfeszültség; Talajhőmérséklet 0 cm; Talajnedvesség 30 cm; Szélsebesség; Talajnedvesség 120 cm; Talajnedvesség 60 cm; Csapadék; Talajnedvesség 90 cm; Széllökés; Levélnedvesség; Fagy; Fényegység; Besugárzás; Külső akkufeszültség; Belső akkufeszültség; Levegő-páratartalom; Levegő-hőmérséklet; Szélirány; Légnyomás
2021-01-14 10:00:00; 21,60208;   0,95000;  30,42733;  10,91667;-9999,00000;  32,47016;   0,00000;  34,38408;  18,66667;   5,00000;-9999,00000;3895,00000; 274,16666;  13,75892;   4,24750;  85,16416;   1,93333; 352,86108; 998,92500
2021-01-14 08:00:00; 17,18383;   0,90000;  30,46700;   6,83333;-9999,00000;  32,48999;   0,00000;  34,39399;  12,33333;   5,00000;-9999,00000;3895,00000;  80,90909;  13,32667;   4,24358;  88,35416;   0,18333; 359,94156; 998,74164
2021-01-14 05:00:00; 0,27867;   0,90000;  30,58600;   2,75000;-9999,00000;  32,48999;   0,00000;  34,39399;   6,33333;   5,00000;-9999,00000; 974,58330;   0,00000;  12,79267;   4,24408;  83,93750;  -0,14167; 298,53586; 998,76680
2021-01-14 04:00:00; 0,00000;   0,90000;  30,58600;   0,00000;-9999,00000;  32,48999;   0,00000;  34,39399;   0,90909;   5,00000;-9999,00000;   0,00000;   0,00000;  12,79925;   4,24333;  83,84000;   0,00000; 307,43793; 999,40000
2021-01-14 06:00:00; 11,51733;   0,90000;  30,57608;   4,83333;-9999,00000;  32,48999;   0,00000;  34,39399;   8,91667;   5,45455;-9999,00000;1856,08340;   6,66667;  12,77925;   4,24258;  86,04917;  -0,50000; 329,47040; 998,61670
2021-01-14 07:00:00; 16,77108;   0,90000;  30,49675;   7,36364;-9999,00000;  32,48999;   0,00000;  34,39399;  12,90909;   5,00000;-9999,00000;3895,00000;  46,25000;  12,92833;   4,24242;  85,54819;  -0,13636; 359,10458; 998,74550
2021-01-14 03:00:00; 0,00000;   0,90000;  30,58600;   0,58333;-9999,00000;  32,48999;   0,00000;  34,39399;   3,41667;   5,00000;-9999,00000; 649,16670;   0,00000;  12,80350;   4,24317;  83,76000;   0,16667; 342,10767;1000,11664
2021-01-14 01:00:00; 0,00000;   1,00000;  30,58600;   5,36364;-9999,00000;  32,48999;   0,00000;  34,39399;   9,54546;   5,00000;-9999,00000;   0,00000;   0,00000;  12,82567;   4,24408;  84,71819;  -0,10909; 331,74160;1001,47266
2021-01-14 02:00:00; 0,00000;   0,95000;  30,58600;   6,08333;-9999,00000;  32,48999;   0,00000;  34,38408;  10,75000;   5,00000;-9999,00000; 298,08334;   0,00000;  12,81283;   4,24517;  84,09000;   0,15000; 348,95767;1000,86664
2021-01-14 00:00:00; 0,00000;   1,00000;  30,58600;   8,41667;-9999,00000;  32,48999;   0,00000;  34,39399;  14,83333;   5,00000;-9999,00000; 640,50000;   0,00000;  12,83100;   4,24500;  81,74001;   0,47500; 348,51822;1002,39996
2021-01-13 23:00:00; 0,00000;   1,10000;  30,58600;   8,25000;-9999,00000;  32,48999;   0,00000;  34,39399;  13,75000;   5,00000;-9999,00000; 324,58334;   0,00000;  12,83641;   4,24525;  83,54333;   0,32500; 349,17886;1003,22504
2021-01-16 21:00:00; 0,00000;   0,00000;  30,34799;   2,63636;-9999,00000;  32,60900;   0,00000;  34,51300;   7,18182;   5,41667;-9999,00000; 649,16670;   0,00000;  12,83709;   4,24658;  84,24250;  -3,69167;   0,00000;1010,67500
2021-01-16 22:00:00; 0,00000;   0,00000;  30,34799;   4,83333;-9999,00000;  32,60900;   0,00000;  34,51300;  10,91667;   5,00000;-9999,00000; 327,58334;   0,00000;  12,82075;   4,24600;  81,26091;  -3,40000;   0,00000;1010,20000
2021-01-15 23:00:00; 0,00000;   0,40000;  30,46700;   0,08333;-9999,00000;  32,37100;   0,00000;  34,27500;   0,41667;   5,00000;-9999,00000; 324,58334;   0,00000;  12,80000;   4,24433;  93,70545;  -4,81818;  10,20553;1011,77280
2021-01-16 02:00:00; 0,00000;   0,30000;  30,37775;   0,00000;-9999,00000;  32,37100;   0,00000;  34,27500;   0,00000;   5,00000;-9999,00000; 330,16666;   0,00000;  12,75375;   4,24367;  95,87092;  -6,03636;  10,20553;1011,85450
2021-01-16 01:00:00; 0,00000;   0,40000;  30,45708;   0,00000;-9999,00000;  32,39084;   0,00000;  34,27500;   0,00000;   5,00000;-9999,00000;  13,33333;   0,00000;  12,76867;   4,24283;  94,09167;  -5,00833;  10,20553;1011,93335
2021-01-16 00:00:00; 0,00000;   0,40000;  30,46700;   0,00000;-9999,00000;  32,37100;   0,00000;  34,27500;   0,36364;   5,45455;-9999,00000; 131,91667;   0,00000;  12,77958;   4,24417;  93,24084;  -4,02500;  10,20553;1011,81670
2021-01-12 23:00:00; 0,00000;   1,10909;  30,58600;   0,00000;-9999,00000;  32,57654;   0,00000;  34,39399;   0,00000;   5,00000;-9999,00000; 318,08334;   0,00000;  12,79967;   4,24183;  96,51000;  -1,18333; 332,61972;1002,98340
2021-01-13 22:00:00; 0,00000;   1,10000;  30,58600;   7,54545;-9999,00000;  32,48999;   0,00000;  34,39399;  13,09091;   5,00000;-9999,00000;   0,00000;   0,00000;  12,84508;   4,24517;  82,01166;   0,41667; 353,31668;1004,01666
2021-01-13 21:00:00; 0,00000;   1,14545;  30,58600;   6,08333;-9999,00000;  32,48999;   0,00000;  34,39399;  10,66667;   5,45455;-9999,00000;   0,00000;   0,00000;  12,85008;   4,24575;  78,86091;  -0,03636; 354,96060;1004,59080
