DATE; Széllökés; Talajnedvesség 90 cm; Talajnedvesség 60 cm; Csapadék; Talajnedvesség 30 cm; Fényegység; Levegő-páratartalom; Levélnedvesség; Belső akkufeszültség; Légnyomás; Fagy; Levegő-hőmérséklet; Napelem töltőfeszültség; Talajnedvesség 120 cm; Besugárzás; Szélsebesség; Talajhőmérséklet 0 cm; Külső akkufeszültség; Szélirány
2021-04-25 00:00:00; 5,54167;  20,96306;  17,18859;   0,00000;  19,04918; 741,05900;  56,67142;   0,00000;   4,24737;1003,63434;-9999,00000;  11,39965;  11,70777;-9999,00000; 210,64236;   2,04167;  12,90660;  13,16451; 268,86322
2021-04-26 00:00:00; 2,85764;  21,07009;  17,09641;   0,00000;  18,78311; 664,53470;  59,40304;   1,38889;   4,24596;1004,15670;-9999,00000;   8,39618;  11,52844;-9999,00000; 164,13194;   0,97222;  12,10868;  13,17965;  88,10242
2021-04-28 00:00:00; 4,16667;  20,84781;  16,37625;   0,00000;  17,80836; 515,27430;  66,83092;   0,26042;   4,24672; 997,34330;-9999,00000;  10,41181;  11,46805;-9999,00000;  86,05903;   1,27083;  12,46805;  13,17133;  91,30602
2021-04-27 00:00:00; 4,72318;  20,98608;  16,67372;   0,00000;  18,21910; 758,10380;  57,40320;   0,00000;   4,24720; 998,90753;-9999,00000;  10,60208;  11,86792;-9999,00000; 180,12111;   1,74394;  13,06263;  13,21556; 102,14632
2021-04-12 00:00:00; 5,73702;  20,33968;  15,71961;   0,00000;  16,82441; 665,79236;  63,12164;   0,00000;   4,24849;1003,29205;-9999,00000;  14,28720;  10,80155;-9999,00000; 169,68858;   2,39100;  12,22803;  13,12371; 184,68321
2021-04-13 00:00:00; 7,96516;  20,32342;  15,59201;   0,04763;  16,71610; 429,01395;  87,44276;   2,61324;   4,24450;1002,31720;-9999,00000;   6,04599;  10,15877;-9999,00000;  58,69338;   2,01045;  10,52579;  13,04670; 319,36752
2021-04-14 00:00:00; 6,23264;  20,21730;  15,70814;   0,01055;  17,91477; 446,99655;  86,82304;   3,10764;   4,24465;1003,74304;-9999,00000;   5,25972;  10,72954;-9999,00000;  93,28720;   1,78819;   9,34637;  13,16981; 336,18304
2021-04-15 00:00:00; 4,53819;  20,25691;  16,11102;   0,01055;  18,13477; 517,91670;  86,53554;   3,75000;   4,24515;1005,87400;-9999,00000;   4,70868;  10,87287;-9999,00000;  90,48611;   1,01042;   9,15695;  13,21315; 353,02835
2021-04-23 00:00:00; 6,79931;  20,50597;  16,41427;   0,00000;  18,37553; 750,38410;  60,04119;   0,00000;   4,24687;1008,05450;-9999,00000;   9,84014;  11,82827;-9999,00000; 236,43599;   1,98616;  13,36955;  13,19813; 310,69400
2021-03-04 00:00:00; 2,55052;  19,92148;  15,11599;   0,00000;  16,23989; 477,91320;  61,91056;   0,00000;   4,24446;1004,29170;-9999,00000;   7,38328;   9,17376;-9999,00000;  93,00347;   0,64111;   4,92361;-9999,00000; 266,98126
2021-04-06 00:00:00; 7,29514;  20,58997;  16,72814;   0,00301;  18,47000; 473,88500;  63,93704;   0,74653;   4,24475; 991,09125;-9999,00000;   4,39966;  10,41297;-9999,00000;  91,56795;   2,05208;   8,40767;  13,15423; 296,34003
2021-04-08 00:00:00; 6,00694;  20,58458;  16,39141;   0,00151;  17,64775; 588,31710;  75,68831;   1,68403;   4,24415;1007,88660;-9999,00000;   2,25556;  11,18964;-9999,00000; 131,28920;   1,54861;   6,65262;  13,22974; 283,83752
2021-04-07 00:00:00; 7,09375;  20,64847;  16,66838;   0,00000;  18,20137; 733,17645;  61,92443;   0,00000;   4,24485; 996,46920;-9999,00000;   3,35729;  11,28538;-9999,00000; 183,23529;   1,76389;   7,85883;  13,21354; 305,86475
2021-04-10 00:00:00; 6,36111;  20,38925;  15,99574;   0,00000;  17,17208; 673,96180;  51,35226;   0,00000;   4,24707;1006,07920;-9999,00000;  10,43333;  11,26647;-9999,00000; 215,10417;   2,93750;   9,87709;  13,19375; 195,79227
2021-04-11 00:00:00; 4,01389;  20,35204;  15,84696;   0,00000;  16,97290; 504,46875;  67,18815;   0,36458;   4,24644;1005,78050;-9999,00000;   9,85452;  10,94618;-9999,00000; 127,20486;   1,82986;   9,99688;  13,15463; 192,47739
2021-03-31 00:00:00; 2,01384;  19,45184;  15,14687;   0,00075;  17,57919; 533,78546;  68,99592;   0,93426;   4,24883;1011,58520;-9999,00000;  13,61696;  10,31987;-9999,00000; 132,61246;   0,56747;  12,97890;  13,13220; 109,00835
2021-03-30 00:00:00; 3,44948;  19,40161;  14,30207;   0,00000;  15,60035; 547,96860;  65,15988;   1,11498;   4,24817;1015,58276;-9999,00000;  12,97491;  10,15624;-9999,00000; 122,90941;   1,09756;  11,52160;-9999,00000;   1,60473
2021-04-01 00:00:00; 4,38811;  19,58329;  15,66289;   0,00000;  17,90028; 587,40070;  66,59433;   1,09756;   4,24893;1002,16290;-9999,00000;  15,14180;  10,62719;-9999,00000; 180,94077;   1,93706;  13,13972;  13,11243; 203,01065
2021-04-05 00:00:00; 6,55903;  20,49000;  16,73659;   0,00000;  18,45377; 675,28470;  55,63081;   0,00000;   4,24571; 996,82670;-9999,00000;   6,29896;  11,16265;-9999,00000; 213,76736;   3,17014;   9,20070;  13,20985; 174,57153
2021-04-04 00:00:00; 4,73264;  20,27333;  16,35747;   0,00527;  18,34835; 481,21800;  70,04125;   1,87500;   4,24549;1003,67896;-9999,00000;   5,83021;  10,92563;-9999,00000; 147,37024;   1,71875;  10,32111;  13,20313;   4,73029
2021-04-03 00:00:00; 3,79861;  20,19036;  16,16552;   0,00603;  17,95256; 436,02777;  70,93466;   1,70139;   4,24591; 998,81350;-9999,00000;   7,07951;  10,52449;-9999,00000; 113,69791;   1,18056;  10,90590;  13,14242; 357,25763
2021-04-29 00:00:00; 6,69792;  20,71808;  16,12667;   0,00226;  17,55885; 606,35420;  78,28655;   0,39931;   4,24867; 995,88140;-9999,00000;  14,76251;  11,37303;-9999,00000; 160,34723;   3,30903;  14,46390;  13,12654; 175,18835
2021-04-30 00:00:00; 4,26923;  20,61153;  15,94613;   0,00000;  17,42925; 686,60974;  70,89682;   0,50523;   4,24992; 996,73030;-9999,00000;  17,50732;  11,36486;-9999,00000; 191,06271;   1,69930;  15,98082;  13,10109; 233,44473
2021-03-29 00:00:00; 2,80969;  19,39994;  14,11937;   0,00000;  14,95238; 674,87150;  58,14423;   0,00000;   4,24672;1017,53766;-9999,00000;  10,01419;  10,78417;-9999,00000; 170,43402;   0,85813;   9,24931;-9999,00000; 318,36377
2021-03-11 00:00:00; 8,39446;  19,67925;  14,69041;   0,00000;  15,58539; 468,22916;  53,73613;   0,00000;   4,24427;1004,16870;-9999,00000;   2,81453;   9,95008;-9999,00000; 138,99306;   4,32872;   2,75972;-9999,00000; 150,48549
2021-04-02 00:00:00; 5,44792;  19,77928;  15,92255;   0,00000;  17,90340; 558,43400;  59,58596;   0,12153;   4,24798; 997,19586;-9999,00000;  13,67778;  10,46513;-9999,00000; 139,89583;   1,72222;  13,05418;  13,11411; 326,53302
