DATE; Talajhőmérséklet 0 cm; Külső akkufeszültség; Fényegység; Széllökés; Talajnedvesség 60 cm; Talajnedvesség 90 cm; Talajnedvesség 120 cm; Levélnedvesség; Levegő-páratartalom; Szélsebesség; Besugárzás; Talajnedvesség 30 cm; Napelem töltőfeszültség; Légnyomás; Szélirány; Belső akkufeszültség; Fagy; Csapadék; Levegő-hőmérséklet
2021-04-30 13:00:00; 13,02500;  13,21383;3895,00000;  16,41667;-9999,00000;  21,66100;-9999,00000;   0,00000;  52,47000;   7,66667; 471,66666;  23,80300;  20,30675;1001,23320; 266,96533;   4,21525;-9999,00000;   0,00000;  23,61667
2021-04-30 14:00:00; 13,30000;  13,20500;3895,00000;  15,58333;-9999,00000;  21,66100;-9999,00000;   0,00000;  53,48417;   7,41667; 260,41666;  23,80300;  19,42617;1001,25830; 273,80740;   4,21533;-9999,00000;   0,00000;  23,05833
2021-04-30 15:00:00; 13,53333;  13,15333;3895,00000;  14,50000;-9999,00000;  21,66100;-9999,00000;   0,00000;  51,88500;   7,16667; 259,54544;  23,80300;  18,68850;1001,27496; 274,13900;   4,21367;-9999,00000;   0,00000;  23,37500
2021-04-30 16:00:00; 13,75000;  13,07125;3895,00000;  11,00000;-9999,00000;  21,66100;-9999,00000;   0,00000;  52,32167;   4,63636; 123,33334;  23,81291;  17,02933;1001,11670; 271,55630;   4,21275;-9999,00000;   0,00000;  22,92500
2021-04-29 19:00:00; 12,58333;  12,96058;   1,08333;   8,75000;-9999,00000;  21,72050;-9999,00000;   0,00000;  66,27333;   3,16667;   0,00000;  23,80300;   0,06892;1000,15010; 219,11044;   4,20742;-9999,00000;   0,00000;  18,24167
2021-04-29 20:00:00; 12,60000;  12,93350;   1,83333;   6,41667;-9999,00000;  21,73042;-9999,00000;   0,00000;  71,73750;   1,75000;   0,00000;  23,80300;   0,05025;1000,26680; 190,74858;   4,20433;-9999,00000;   0,00000;  17,01667
2021-04-29 17:00:00; 12,38333;  13,01300;2128,58330;  10,66667;-9999,00000;  21,71058;-9999,00000;   0,00000;  58,77334;   4,41667;   7,50000;  23,80300;  12,17683; 999,41675; 191,51147;   4,20958;-9999,00000;   0,00000;  19,86667
2021-04-29 16:00:00; 12,28333;  13,12125;3895,00000;  13,41667;-9999,00000;  21,74033;-9999,00000;   0,00000;  53,62750;   5,83333;  69,58334;  23,80300;  17,10275; 999,29156; 193,26762;   4,21108;-9999,00000;   0,00000;  21,12500
2021-04-29 18:00:00; 12,47500;  12,98408; 651,16670;   9,90909;-9999,00000;  21,72050;-9999,00000;   0,00000;  61,16166;   4,18182;   0,00000;  23,80300;   0,36833; 999,67500; 196,02206;   4,20783;-9999,00000;   0,00000;  19,25000
2021-04-29 15:00:00; 12,12500;  13,16400;3895,00000;  12,66667;-9999,00000;  21,73041;-9999,00000;   0,00000;  53,01166;   5,33333; 117,08334;  23,80300;  18,56250; 999,72485; 194,83144;   4,21333;-9999,00000;   0,00000;  21,49167
2021-04-28 22:00:00; 11,10000;  12,85367; 325,41666;   7,58333;-9999,00000;  21,78000;-9999,00000;   1,25000;  83,42666;   3,08333;   0,00000;  24,04100;   0,01425;1002,77510; 238,92072;   4,20267;-9999,00000;   0,00000;  11,12500
2021-04-28 23:00:00; 11,10000;  12,82583;   0,00000;   7,36364;-9999,00000;  21,78000;-9999,00000;   0,00000;  83,25666;   2,54545;   0,00000;  24,04100;   0,00850;1002,69165; 205,06374;   4,20258;-9999,00000;   0,00000;  10,62500
2021-04-29 14:00:00; 11,92500;  13,22875;3895,00000;  15,27273;-9999,00000;  21,74033;-9999,00000;   0,00000;  53,93000;   6,18182; 227,91667;  23,84267;  19,18058;1000,20830; 194,47833;   4,21458;-9999,00000;   0,00000;  21,54167
2021-04-29 13:00:00; 11,72500;  13,23042;3895,00000;  17,75000;-9999,00000;  21,76016;-9999,00000;   0,00000;  56,18500;   6,66667; 200,41667;  23,83275;  19,09450;1000,80000; 192,18047;   4,21450;-9999,00000;   0,00000;  20,94167
2021-04-29 00:00:00; 11,10000;  12,80683; 697,33330;   8,91667;-9999,00000;  21,78000;-9999,00000;   2,08333;  85,96091;   2,91667;   0,00000;  24,04100;   0,00667;1002,61816; 205,63382;   4,20125;-9999,00000;   0,00000;  10,13636
2021-04-29 01:00:00; 11,06667;  12,79008; 333,00000;  11,25000;-9999,00000;  21,78000;-9999,00000;   0,00000;  86,62333;   4,16667;   0,00000;  24,04100;   0,00558;1002,68335; 193,13281;   4,20025;-9999,00000;   0,00000;   9,92500
2021-04-29 02:00:00; 10,99167;  12,77958;   0,58333;  11,45454;-9999,00000;  21,78000;-9999,00000;   0,00000;  85,41333;   4,90909;   0,00000;  24,04100;   0,16700;1002,57495; 185,19880;   4,19942;-9999,00000;   0,00000;   9,95000
2021-04-29 03:00:00; 10,90000;  12,77175;1895,83340;   9,58333;-9999,00000;  21,78000;-9999,00000;   0,00000;  84,22583;   3,41667;   3,75000;  24,04100;  12,07308;1002,80000; 203,58438;   4,20050;-9999,00000;   0,00000;  10,05833
2021-04-29 04:00:00; 10,90000;  12,81400;3895,00000;  10,08333;-9999,00000;  21,78000;-9999,00000;   0,00000;  83,57583;   3,83333;  31,66667;  24,04100;  16,69475;1003,17505; 216,12624;   4,19900;-9999,00000;   0,00000;  10,24167
2021-04-29 05:00:00; 10,80000;  13,33225;3895,00000;  11,00000;-9999,00000;  21,78000;-9999,00000;   0,00000;  80,77583;   4,18182; 140,41667;  24,04100;  19,50933;1003,20825; 210,39552;   4,20658;-9999,00000;   0,00000;  11,10000
2021-04-29 12:00:00; 11,50000;  13,31850;3895,00000;  16,75000;-9999,00000;  21,78000;-9999,00000;   0,00000;  56,18751;   7,83333; 515,83330;  23,91118;  20,27933;1001,19165; 201,70744;   4,21383;-9999,00000;   0,00000;  21,01667
2021-04-29 11:00:00; 11,30000;  13,33467;3895,00000;  16,81818;-9999,00000;  21,78000;-9999,00000;   0,00000;  60,98083;   7,54545; 506,66666;  23,90216;  20,01042;1001,69170; 191,98123;   4,21667;-9999,00000;   0,00000;  19,73333
2021-04-29 06:00:00; 10,80000;  13,51617;3895,00000;  16,91667;-9999,00000;  21,78000;-9999,00000;   0,00000;  73,32333;   7,25000; 407,91666;  24,04100;  20,76467;1003,10004; 201,84915;   4,21417;-9999,00000;   0,00000;  13,10000
