DATE; Szélirány; Belső akkufeszültség; Besugárzás; Levélnedvesség; Talajhőmérséklet 0 cm; Légnyomás; Csapadék; Napelem töltőfeszültség; Külső akkufeszültség; Fagy; Szélsebesség; Talajnedvesség 90 cm; Széllökés; Levegő-páratartalom; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Fényegység; Levegő-hőmérséklet
2021-01-29 18:00:00; 253,68945;   4,21082;   0,00000;   5,45455;   3,16667; 989,48320;   0,00000;   0,00000;  12,61809;-9999,00000;   1,58333;  24,75500;   6,83333;  94,91000;  22,92042;  28,82083; 553,09090;   6,08333
2021-01-29 12:00:00; 219,79840;   4,21391;  56,81818;   5,00000;   1,96364; 993,13635;   0,02064;  16,91900;  12,84055;-9999,00000;   4,72727;  24,87400;   9,54546;  95,52274;  22,73200;  27,61100; 370,18182;   4,35454
2021-01-29 11:00:00; 192,32991;   4,21508;  67,91666;   5,00000;   1,61538; 993,36914;   0,00000;  16,93216;  12,91808;-9999,00000;   5,84615;  24,87400;  10,92308;  95,66385;  22,73200;  27,53777; 530,07690;   3,45385
2021-01-29 09:00:00; 257,31287;   4,21733;  77,08334;   5,00000;   0,89167; 994,60913;   0,00000;  16,93925;  12,87725;-9999,00000;   0,63636;  24,90375;   2,90909;  96,22090;  22,73200;  27,18458; 823,08330;   2,09091
2021-01-29 08:00:00; 278,23605;   4,21692;  63,46154;   5,45455;   0,80000; 994,69165;   0,00000;  16,93350;  12,76275;-9999,00000;   3,16667;  24,99300;   6,00000;  96,53751;  22,71216;  26,99436; 693,91670;   1,61667
2021-01-29 07:00:00; 281,14194;   4,21917;  27,72727;   5,00000;   0,80000; 994,54170;   0,01892;  16,68292;  12,64592;-9999,00000;   4,33333;  24,99300;   7,08333;  96,71000;  22,73200;  26,82758; 543,16670;   1,09167
2021-01-29 06:00:00; 273,70844;   4,21954;   9,23077;   5,00000;   0,80000; 994,18330;   0,01892;  14,00977;  12,64469;-9999,00000;   6,50000;  24,99300;  10,08333;  96,81667;  22,73200;  26,66815; 470,69232;   1,05000
2021-01-29 05:00:00; 269,53036;   4,22064;   0,00000;   5,00000;   0,80000; 993,50903;   0,04127;   1,60918;  12,66346;-9999,00000;   8,27273;  24,98218;  12,81818;  96,84545;  22,73200;  26,64818; 113,72727;   1,06364
2021-01-29 04:00:00; 266,06714;   4,22031;   0,00000;   5,00000;   0,80000; 993,11536;   0,05238;   0,00000;  12,67300;-9999,00000;   5,16667;  24,99299;  10,33333;  96,75615;  22,73200;  26,65900; 144,23077;   0,86923
2021-01-29 03:00:00; 251,58453;   4,22109;   0,00000;   5,00000;   0,80000; 993,05450;   0,08255;   0,00000;  12,68309;-9999,00000;   1,09091;  24,99300;   6,09091;  96,51818;  22,73200;  26,74554; 190,18182;   0,59091
2021-01-29 02:00:00; 235,22919;   4,22123;   0,00000;   5,41667;   0,79167; 993,25836;   0,01746;   0,00000;  12,69800;-9999,00000;   6,69231;  24,99299;  16,15385;  96,28083;  22,71369;  26,85123; 415,30768;   0,58333
2021-01-29 01:00:00; 228,12953;   4,14450;   0,00000;   5,00000;   0,79167; 993,87500;   0,00000;   0,00000;  12,67158;-9999,00000;   4,81818;  24,99300;  12,72727;  95,76667;  22,64275;  26,85733; 638,75000;   0,18333
2021-01-29 00:00:00; 228,84200;   4,22318;   0,00000;   5,00000;   0,73636; 994,72730;   0,00000;   0,00000;  12,71927;-9999,00000;   5,09091;  24,99300;  12,27273;  94,62273;  22,77527;  26,77800; 187,54546;   0,08182
