DATE; Levegő-hőmérséklet; Széllökés; Levélnedvesség; Talajhőmérséklet 0 cm; Besugárzás; Talajnedvesség 60 cm; Csapadék; Szélirány; Talajnedvesség 90 cm; Talajnedvesség 30 cm; Levegő-páratartalom; Szélsebesség
2021-03-29 00:00:00; 10,13672;   1,22691;-9999,00000;   7,28703; 170,19324;  49,53930;   0,00000; 313,89478;  27,15741;  30,93919;  59,13303;   0,79586
2021-03-28 00:00:00; 10,90146;   1,85924;-9999,00000;   7,60427; 160,53737;  49,63871;   0,00000; 281,27722;  27,12660;  31,17510;  49,06399;   1,32129
2021-03-27 00:00:00; 10,77277;   1,47375;-9999,00000;   6,38776; 186,49493;  49,63192;   0,00000; 154,21706;  27,12958;  31,13778;  61,65637;   1,04690
2021-03-26 00:00:00; 7,56992;   0,91787;-9999,00000;   5,50643; 195,84264;  49,68166;   0,00000; 130,72499;  27,14225;  31,09952;  65,37669;   0,51332
2021-01-20 00:00:00; 2,87020;   1,67395;-9999,00000;   1,99253;  51,76268;  50,95512;   0,00000; 162,83057;  28,19364;  33,99120;  90,55960;   1,27032
2021-02-10 00:00:00; 6,57606;   1,17925;-9999,00000;   6,15387;  37,85835;  56,17898;   0,04378; 138,24718;  29,36918;  37,22178;  98,74438;   0,75418
2021-02-09 00:00:00; 5,59693;   1,36791;-9999,00000;   5,61467;  43,02232;  56,37370;   0,02264; 151,36531;  29,82439;  37,04616;  97,75053;   0,95709
2021-02-08 00:00:00; 5,89276;   2,21372;-9999,00000;   6,06156;  18,84723;  56,46867;   0,09662; 176,35004;  30,55138;  36,78993;  97,16934;   1,60196
2021-02-07 00:00:00; 6,71553;   1,73471;   0,00000;   5,75089;  37,84435;  54,52882;   0,00000;  84,91042;  29,09157;  35,97893;  93,02898;   1,23989
2021-04-01 00:00:00; 15,33182;   1,45797;-9999,00000;   9,66386; 185,76993;  49,17897;   0,00000; 166,93645;  27,17977;  30,35969;  72,66376;   0,99460
2021-03-31 00:00:00; 13,77937;   1,35713;-9999,00000;   9,16941; 181,20448;  49,34827;   0,00000; 343,49805;  27,18055;  30,61527;  69,88236;   0,93689
2021-03-24 00:00:00; 5,29068;   2,83094;-9999,00000;   5,38503; 141,59142;  49,86750;   0,00302; 330,43520;  27,17646;  31,38351;  75,86928;   2,17817
2021-03-23 00:00:00; 4,96621;   2,70666;-9999,00000;   4,10290; 162,48720;  49,89699;   0,00000; 319,71948;  27,23529;  31,32741;  58,68235;   2,01916
2021-03-22 00:00:00; 2,13224;   3,44333;-9999,00000;   3,88898;  70,12017;  50,19710;   0,00000; 334,06424;  27,31025;  31,53908;  74,55385;   2,79450
2021-03-21 00:00:00; 1,34974;   1,51412;-9999,00000;   4,13071; 157,93170;  50,37548;   0,00000; 314,56740;  27,33935;  31,70266;  64,00603;   1,03386
2021-03-20 00:00:00; 1,76862;   1,51454;-9999,00000;   4,40967; 124,21690;  50,51699;   0,00000;  18,21170;  27,38050;  32,00527;  73,26725;   1,02099
2021-02-11 00:00:00; -1,23387;   2,97157;-9999,00000;   5,24812;  13,83930;  56,76876;   0,01359; 293,60890;  29,96532;  37,54931;  87,41018;   2,19169
2021-03-07 00:00:00; 1,93037;   1,44658;-9999,00000;   4,16486; 166,88681;  51,99718;   0,00000; 169,88010;  27,27722;  32,58243;  61,43834;   0,97278
2021-03-06 00:00:00; 2,39040;   2,51128;-9999,00000;   5,03760; 137,38353;  52,34480;   0,00000; 352,87952;  27,32479;  33,03401;  59,38850;   1,91109
2021-03-05 00:00:00; 7,19509;   2,63628;-9999,00000;   6,03975;  67,58369;  52,51664;   0,00151; 241,14508;  27,33808;  33,51497;  74,52966;   2,00217
2021-01-27 00:00:00; 0,12076;   1,14372;-9999,00000;   3,05037;  82,80772;  54,43839;   0,00302; 292,53815;  29,93180;  35,53922;  88,43732;   0,77097
2021-01-26 00:00:00; 0,20463;   1,23519;-9999,00000;   3,62884;  25,65697;  54,84494;   0,00151; 288,30338;  31,02672;  36,21191;  93,43700;   0,83051
2021-03-25 00:00:00; 4,37349;   1,51892;-9999,00000;   4,95194; 209,37628;  49,81936;   0,00000; 338,94290;  27,17453;  31,18830;  68,13675;   0,99541
2021-04-30 00:00:00; 17,47691;   1,74429;-9999,00000;  12,63485; 207,38419;  40,86014;   0,02114; 174,34329;  27,41302;  26,29656;  79,57106;   1,16502
2021-04-29 00:00:00; 15,10962;   2,00821;-9999,00000;  11,11796; 194,83821;  40,98901;   0,00302; 162,53223;  27,46932;  26,38701;  80,15732;   1,41506
2021-03-11 00:00:00; 3,17053;   1,93317;-9999,00000;   3,64174; 156,04870;  51,00618;   0,00000; 173,12842;  27,05609;  31,71881;  59,13961;   1,35904
2021-03-10 00:00:00; 1,43722;   1,56657;-9999,00000;   3,82232; 154,04291;  51,22315;   0,00000; 344,63430;  27,09902;  31,89250;  60,29917;   1,11209
2021-03-09 00:00:00; 1,45463;   2,13437;-9999,00000;   3,98120; 149,55128;  51,47675;   0,00000; 349,87300;  27,14555;  32,13804;  60,71899;   1,56941
2021-03-08 00:00:00; 3,41052;   1,62056;-9999,00000;   4,15070; 154,79395;  51,69777;   0,00000; 249,59775;  27,20800;  32,38428;  60,68208;   1,09153
2021-04-02 00:00:00; 14,46670;   1,91202;-9999,00000;  10,40874; 132,12286;  48,95073;   0,00000; 288,24573;  27,17313;  30,12697;  64,53780;   1,34893
2021-02-18 00:00:00; 5,43225;   1,37816;-9999,00000;   3,27475; 123,42482;  52,55247;   0,00000; 320,29803;  27,36762;  34,80150;  85,16644;   0,94484
2021-02-17 00:00:00; 2,41540;   1,70517;-9999,00000;   1,82434;  42,15105;  52,57334;   0,00151; 184,81581;  27,46280;  33,53105;  82,63538;   1,21076
2021-02-16 00:00:00; -1,08059;   0,96473;-9999,00000;   1,16960;  64,13206;  52,82450;   0,00000; 132,46956;  27,61298;  32,50793;  80,98883;   0,63636
2021-02-27 00:00:00; 7,23324;   1,86510;-9999,00000;   6,34120;  72,09811;  53,40790;   0,00000; 329,32718;  27,48196;  34,68745;  81,42544;   1,40288
2021-02-15 00:00:00; -2,38553;   1,13883;-9999,00000;   1,21315; 127,61180;  53,22194;   0,00000; 287,40567;  27,80624;  32,75097;  77,28443;   0,72781
2021-04-08 00:00:00; 3,52771;   1,84149;-9999,00000;   6,07110; 142,25731;  46,25124;   0,00000; 243,62940;  26,92565;  27,80507;  70,14742;   1,22845
2021-04-07 00:00:00; 4,10911;   1,89976;-9999,00000;   6,43800; 189,46188;  46,72513;   0,00000; 278,51904;  27,02922;  28,12676;  58,81942;   1,26005
2021-04-03 00:00:00; 8,37148;   1,75886;-9999,00000;   9,17035; 132,30753;  48,61648;   0,00000; 304,10420;  27,21110;  29,53114;  68,67248;   1,20727
2021-04-09 00:00:00; 6,26630;   1,56155;-9999,00000;   6,31966; 239,94754;  45,78680;   0,00000; 156,13289;  26,87359;  27,58936;  61,98900;   1,04754
2021-04-06 00:00:00; 4,22265;   2,25520;-9999,00000;   6,96942;  70,98742;  47,13965;   0,00302; 271,94350;  27,09106;  28,42194;  76,32575;   1,64237
2021-04-05 00:00:00; 6,67797;   2,14310;-9999,00000;   7,12989; 231,73933;  47,58016;   0,00000; 179,83060;  27,16999;  28,66355;  62,18361;   1,52409
2021-04-04 00:00:00; 5,87962;   3,00930;-9999,00000;   7,94536; 101,53597;  48,18339;   0,01208; 348,87933;  27,22996;  29,09353;  77,71255;   2,38505
2021-03-04 00:00:00; 7,69422;   1,22765;-9999,00000;   5,74563;  96,78387;  52,61642;   0,00000; 179,31047;  27,34791;  33,50745;  69,45996;   0,85141
2021-03-03 00:00:00; 8,24410;   1,06253;-9999,00000;   5,76664; 156,70993;  52,68334;   0,00000; 187,55186;  27,34839;  33,59166;  67,62933;   0,68410
2021-03-02 00:00:00; 5,30699;   0,97635;-9999,00000;   5,36118; 152,00266;  52,83071;   0,00000; 305,06720;  27,40049;  33,67812;  79,73077;   0,60184
2021-03-01 00:00:00; 5,01283;   2,62294;-9999,00000;   5,41424; 146,70929;  53,04880;   0,00000; 339,25378;  27,44781;  33,98294;  78,44593;   1,98046
2021-02-28 00:00:00; 5,79328;   0,97922;-9999,00000;   5,81224; 137,84755;  53,24911;   0,00000; 285,22950;  27,47035;  34,31662;  74,42222;   0,62608
2021-04-28 00:00:00; 11,17813;   1,07991;-9999,00000;   9,98121;  36,24987;  41,15817;   0,00302;  46,67248;  27,47190;  26,48808;  82,02966;   0,68990
2021-04-27 00:00:00; 11,58710;   1,11230;-9999,00000;   9,83473; 154,31659;  41,36159;   0,00000; 341,87595;  27,44096;  26,77540;  59,56086;   0,66380
2021-04-26 00:00:00; 9,46231;   1,40517;-9999,00000;   9,66933; 200,54250;  41,75108;   0,00000; 345,87830;  27,48814;  27,26068;  59,84259;   0,91171
2021-04-25 00:00:00; 12,10195;   1,75888;-9999,00000;   9,49203; 221,41226;  42,10275;   0,00000; 198,03314;  27,46210;  27,85666;  61,89262;   1,17587
2021-04-24 00:00:00; 10,27270;   1,40498;-9999,00000;   9,45051; 267,36560;  42,49924;   0,00000; 334,50275;  27,47246;  28,53521;  60,50081;   0,94250
2021-04-23 00:00:00; 10,99591;   1,72438;-9999,00000;  10,18965; 246,11691;  42,87018;   0,00000; 279,85320;  27,39205;  29,23587;  62,32467;   1,17753
2021-04-16 00:00:00; 5,62848;   1,49545;-9999,00000;   6,74820; 135,04912;  43,57804;   0,00000; 228,98347;  27,16952;  27,56047;  76,76009;   0,97037
2021-02-25 00:00:00; 8,92517;   0,63016;-9999,00000;   6,07972; 128,01625;  53,25544;   0,00000;  96,31184;  27,39018;  34,90196;  83,63663;   0,36606
2021-02-24 00:00:00; 8,00379;   0,60623;   0,00000;   5,58973; 120,96823;  53,15681;   0,00151; 327,00696;  27,34389;  34,94890;  85,91120;   0,32820
2021-02-23 00:00:00; 7,21127;   0,80125;-9999,00000;   5,00481; 133,50308;  53,06701;   0,00000; 326,16904;  27,32774;  34,92683;  88,70196;   0,49691
2021-02-22 00:00:00; 5,43547;   0,71506;-9999,00000;   4,42221; 135,17043;  53,00887;   0,00000;  81,16862;  27,31622;  34,93137;  88,07564;   0,46985
2021-02-21 00:00:00; 4,05294;   1,06176;-9999,00000;   4,21582; 135,14203;  52,90512;   0,00000;  72,45071;  27,26873;  35,12358;  91,73400;   0,71228
2021-04-22 00:00:00; 13,30967;   2,55763;-9999,00000;  10,18186; 230,45267;  43,00777;   0,02717; 203,10988;  27,31356;  29,13782;  73,07068;   1,85159
2021-04-21 00:00:00; 12,20519;   1,38276;-9999,00000;   9,18667; 202,40845;  43,15399;   0,00000; 189,85950;  27,28411;  29,28690;  77,24847;   0,91597
2021-04-20 00:00:00; 9,60313;   0,88216;-9999,00000;   8,49501; 129,98172;  43,22554;   0,04831; 281,04044;  27,29699;  28,77187;  89,91613;   0,51060
2021-04-19 00:00:00; 8,15185;   0,73568;-9999,00000;   8,04870;  63,31951;  43,25842;   0,00000;  62,56324;  27,22434;  28,33205;  93,18581;   0,40426
2021-04-18 00:00:00; 7,38088;   1,03887;-9999,00000;   7,78700;  51,97657;  43,18035;   0,04831;  38,78704;  27,16993;  27,80470;  95,72269;   0,67172
2021-04-17 00:00:00; 8,24099;   0,96057;-9999,00000;   7,36740; 153,78973;  43,25529;   0,00000;  83,50980;  27,13650;  27,44087;  71,41967;   0,57529
2021-03-13 00:00:00; 8,79720;   1,93488;-9999,00000;   6,76281; 174,66875;  51,11244;   0,01208; 168,19190;  26,98887;  32,48110;  84,33371;   1,37736
2021-03-12 00:00:00; 8,10190;   2,76733;-9999,00000;   5,26147;  88,07445;  50,91554;   0,01963; 189,52013;  26,95058;  32,00202;  78,24893;   2,08373
2021-02-04 00:00:00; 10,30202;   2,39250;-9999,00000;   6,22109; 100,93861;  54,80983;   0,00906; 218,27144;  29,50630;  36,43847;  79,68644;   1,78202
2021-02-03 00:00:00; 6,42602;   1,89337;-9999,00000;   4,01265;  63,76013;  54,76839;   0,00604; 165,17546;  29,83733;  36,49702;  95,04600;   1,35971
2021-02-02 00:00:00; 0,59066;   1,19403;-9999,00000;   2,86629;  18,08795;  54,80077;   0,02415; 179,60540;  30,17797;  36,90988;  99,99804;   0,76695
2021-02-01 00:00:00; -0,77181;   1,60789;-9999,00000;   2,56919;  24,22608;  54,57529;   0,02566; 332,91284;  29,97912;  36,09792;  98,91322;   1,17620
