DATE; Napelem töltőfeszültség; Talajhőmérséklet 0 cm; Levélnedvesség; Széllökés; Fényegység; Szélirány; Levegő-hőmérséklet; Talajnedvesség 120 cm; Külső akkufeszültség; Talajnedvesség 60 cm; Belső akkufeszültség; Fagy; Levegő-páratartalom; Talajnedvesség 90 cm; Csapadék; Légnyomás; Besugárzás; Talajnedvesség 30 cm; Szélsebesség
2021-03-06 00:10:00; 0,00000;   4,50000;  10,00000;   8,50000;   0,00000;  28,50458;   2,55000;-9999,00000;-9999,00000;  32,72800;   4,24350;-9999,00000;  63,80500;  34,27500;   0,00000;1018,10000;   0,00000;  30,70500;   0,50000
2021-03-06 20:50:00; 0,00000;   3,45000;  10,00000;   0,00000;   6,50000; 140,93867;  -1,30000;-9999,00000;-9999,00000;  32,72800;   4,24600;-9999,00000;  61,00000;  34,27500;   0,00000;1023,90000;   0,00000;  30,70500;   0,00000
2021-03-06 21:40:00; 0,00000;   3,20000;  10,00000;   0,00000;   0,00000; 141,64214;  -1,40000;-9999,00000;-9999,00000;  32,72800;   4,24500;-9999,00000;  63,87000;  34,27500;   0,00000;1023,75000;   0,00000;  30,70500;   0,00000
2021-03-05 23:10:00; 0,00000;   4,70000;  10,00000;  30,50000;   0,00000;  80,58642;   3,10000;-9999,00000;-9999,00000;  32,72800;   4,24500;-9999,00000;  62,69000;  34,27500;   0,00000;1016,45000;   0,00000;  30,70500;  14,50000
2021-03-06 00:50:00; 0,00000;   4,40000;  10,00000;  24,50000;   0,00000;  55,95296;   2,55000;-9999,00000;-9999,00000;  32,72800;   4,24100;-9999,00000;  62,51500;  34,27500;   0,00000;1018,55000;   0,00000;  30,70500;  11,00000
2021-03-06 00:20:00; 0,00000;   4,40000;  10,00000;  10,50000;   0,00000;  46,09959;   2,55000;-9999,00000;-9999,00000;  32,72800;   4,24250;-9999,00000;  63,63000;  34,27500;   0,00000;1018,30005;   0,00000;  30,70500;   2,00000
2021-03-06 00:40:00; 0,00000;   4,40000;  10,00000;  23,50000;   0,00000;  55,95298;   2,55000;-9999,00000;-9999,00000;  32,72800;   4,24350;-9999,00000;  62,66000;  34,27500;   0,00000;1018,50000;   0,00000;  30,70500;   5,00000
2021-03-06 01:10:00; 0,00000;   4,30000;  10,00000;  21,50000;   0,00000;  63,69534;   2,40000;-9999,00000;-9999,00000;  32,72800;   4,24200;-9999,00000;  63,77500;  34,27500;   0,00000;1018,70000;   0,00000;  30,70500;   5,00000
2021-03-06 02:10:00; 0,00000;   4,10000;  10,00000;  20,00000;   0,00000;  58,41659;   2,30000;-9999,00000;-9999,00000;  32,72800;   4,24150;-9999,00000;  58,69000;  34,27500;   0,00000;1019,25000;   0,00000;  30,70500;   9,00000
2021-03-06 02:30:00; 0,00000;   4,10000;  10,00000;  10,50000;   0,00000;  39,06181;   2,20000;-9999,00000;-9999,00000;  32,72800;   4,24150;-9999,00000;  58,31000;  34,27500;   0,00000;1019,45000;   0,00000;  30,70500;   0,50000
2021-03-06 03:50:00; 0,00000;   3,85000;  10,00000;   0,00000;   1,00000;  29,38427;   1,80000;-9999,00000;-9999,00000;  32,72800;   4,24150;-9999,00000;  68,25500;  34,27500;   0,00000;1020,55000;   0,00000;  30,70500;   0,00000
2021-03-06 04:10:00; 0,00000;   3,80000;  10,00000;   0,00000;   0,00000;   0,70366;   1,50000;-9999,00000;-9999,00000;  32,72800;   4,24200;-9999,00000;  71,83000;  34,27500;   0,00000;1020,90000;   0,00000;  30,70500;   0,00000
2021-03-06 01:40:00; 0,00000;   4,20000;  10,00000;  24,50000;   0,00000;  54,72121;   2,40000;-9999,00000;-9999,00000;  32,72800;   4,24050;-9999,00000;  60,74000;  34,27500;   0,00000;1018,95000;   0,00000;  30,70500;   8,00000
2021-03-06 02:50:00; 0,00000;   4,00000;  10,00000;  13,50000;   1,00000;  42,75650;   2,20000;-9999,00000;-9999,00000;  32,72800;   4,24000;-9999,00000;  58,60500;  34,27500;   0,00000;1019,75000;   0,00000;  30,70500;   0,00000
2021-03-06 03:00:00; 0,00000;   4,00000;  10,00000;   3,50000;   3,00000;  25,68880;   2,10000;-9999,00000;-9999,00000;  32,72800;   4,24300;-9999,00000;  60,36500;  34,27500;   0,00000;1019,90000;   0,00000;  30,70500;   0,00000
2021-03-06 01:20:00; 0,00000;   4,30000;  10,00000;  22,00000;   0,00000;  56,12868;   2,40000;-9999,00000;-9999,00000;  32,72800;   4,24350;-9999,00000;  63,17500;  34,27500;   0,00000;1018,85000;   0,00000;  30,70500;   3,00000
2021-03-06 02:40:00; 0,00000;   4,10000;  10,00000;  10,50000;   1,50000;  36,95013;   2,20000;-9999,00000;-9999,00000;  32,72800;   4,24100;-9999,00000;  58,36500;  34,27500;   0,00000;1019,65000;   0,00000;  30,70500;   1,00000
