DATE; Talajnedvesség 30 cm; Talajnedvesség 60 cm; Talajnedvesség 120 cm; Légnyomás; Talajhőmérséklet 0 cm; Szélirány; Levélnedvesség; Belső akkufeszültség; Besugárzás; Szélsebesség; Széllökés; Fényegység; Levegő-páratartalom; Levegő-hőmérséklet; Fagy; Külsõ akkufeszültség; Csapadék; Napelem töltőfeszültség; Talajnedvesség 90 cm
2021-03-01 00:00:00; 30,27248;  28,08779;-9999,00000;1016,78400;   4,44964;  33,13310;   0,26132;   4,24742; 138,10284;   3,65000;   7,43571;1883,70480;  70,50687;   4,44716;-9999,00000;-9999,00000;   0,00000;   9,77593;  30,90628
2021-03-02 00:00:00; 29,94524;  28,08694;-9999,00000;1019,73830;   4,51096; 332,07190;   1,27178;   4,24678; 140,81271;   0,31900;   2,26523;1933,83680;  69,76856;   5,32297;-9999,00000;-9999,00000;   0,00000;   9,68332;  30,80434
2021-03-03 00:00:00; 29,60998;  28,00284;-9999,00000;1014,99384;   4,72403; 259,50546;   0,69686;   4,24768; 147,28723;   0,21708;   2,18505;1951,87500;  64,08179;   6,29823;-9999,00000;-9999,00000;   0,00000;   9,53651;  30,68234
2021-03-09 00:00:00; 27,89497;  27,84902;-9999,00000;1004,59430;   3,15071;  80,94466;   0,00000;   4,24670; 108,48754;   2,39785;   6,38351;1951,61800;  58,90009;   1,40887;-9999,00000;-9999,00000;   0,00000;   9,89109;  30,22772
2021-03-04 00:00:00; 29,32746;  27,96790;-9999,00000;1003,77936;   4,84558; 254,44662;   0,00000;   4,24636; 100,40636;   0,22143;   2,11071;1856,46530;  63,32864;   6,63416;-9999,00000;-9999,00000;   0,00000;   9,23493;  30,58300
2021-03-07 00:00:00; 28,50243;  27,88705;-9999,00000;1009,77220;   3,39573; 280,16270;   0,00000;   4,24125; 155,88652;   0,55197;   2,98208;1992,69790;  60,37103;   0,61495;-9999,00000;-9999,00000;   0,00000;   9,92591;  30,34126
2021-03-23 00:00:00; 32,53118;  28,32424;-9999,00000;1003,97870;   4,03004; 344,61316;   0,00000;   4,24777; 150,19504;   4,03929;  11,76429;2065,52080;  57,22413;   4,53463;-9999,00000;-9999,00000;   0,00000;  10,42417;  29,49187
2021-03-24 00:00:00; 32,26626;  28,22664;-9999,00000;1005,70440;   4,71307;  14,40797;   1,62021;   4,24446;  51,71378;   2,91429;   8,38214;1959,07640;  77,64529;   4,92296;-9999,00000;-9999,00000;   0,00000;   8,74577;  29,53097
2021-03-25 00:00:00; 31,94985;  28,20478;-9999,00000;1006,86820;   4,99362; 329,89917;   1,68990;   4,24740; 178,33333;   0,39785;   2,30108;2124,63550;  67,45884;   5,17021;-9999,00000;-9999,00000;   0,00076;  10,46184;  29,42047
2021-03-26 00:00:00; 31,41572;  28,16160;-9999,00000;1008,16284;   5,96585; 190,02058;   0,06969;   4,24826; 193,00354;   0,23488;   2,08541;2141,33330;  63,59366;   7,06127;-9999,00000;-9999,00000;   0,00000;  10,47253;  28,46285
2021-02-27 00:00:00; 31,07130;  28,20604;-9999,00000;1013,02470;   5,68657; 355,34167;   0,00000;   4,24641;  93,90459;   4,12811;  11,32740;1938,74660;  68,70810;   7,66643;-9999,00000;-9999,00000;   0,00000;   9,16367;  31,15159
2021-02-28 00:00:00; 30,64318;  28,20268;-9999,00000;1018,23236;   5,21449; 321,70132;   0,00000;   4,24675; 114,82332;   0,31786;   3,34286;1896,92710;  70,17131;   4,94664;-9999,00000;-9999,00000;   0,00000;   9,41106;  31,02876
2021-03-20 00:00:00; 33,59093;  28,80183;-9999,00000;1005,41210;   4,06029;  58,98204;   2,13287;   4,24438; 102,75801;   1,78853;   5,09677;2024,00700;  81,28922;   0,97234;-9999,00000;-9999,00000;   0,00076;   9,89885;  30,38427
2021-02-11 00:00:00; 36,71576;  30,99439;-9999,00000; 999,35834;   2,84107; 280,20795;   0,87719;   4,23987;  42,65125;   8,52158;  20,05396;1590,43050;  77,11410;  -2,67580;-9999,00000;  12,94402;   0,00152;   7,31395;  36,85091
2021-01-28 00:00:00; 34,68175;  29,38663;-9999,00000; 996,46020;   0,37714; 258,44788;   1,38112;   4,24294;  53,13167;   0,87455;   3,82437;1635,90970;  86,53053;  -0,61738;-9999,00000;  12,96943;   0,00305;   7,37250;  35,26948
2021-02-12 00:00:00; 34,17682;  29,84215;-9999,00000;1013,85730;   0,47061; 315,32376;   0,00000;   4,24728;  99,55357;   4,12274;  12,76534;1813,48960;  64,25611;  -6,08136;-9999,00000;  13,15529;   0,00000;   9,18334;  34,71262
2021-03-22 00:00:00; 32,84490;  28,41006;-9999,00000; 996,94130;   4,19004;  15,01512;   0,52448;   4,24565;  77,16312;   4,87455;  10,67384;2080,54520;  76,91520;   2,40603;-9999,00000;-9999,00000;   0,00076;   9,24675;  29,63994
2021-03-21 00:00:00; 33,55635;  28,54316;-9999,00000;1001,85394;   3,98262;  12,27088;   0,00000;   4,24859; 186,36525;   3,17563;   9,32258;2080,99320;  56,10670;   1,96028;-9999,00000;-9999,00000;   0,00000;  10,68745;  30,19946
2021-02-05 00:00:00; 33,40711;  29,40234;-9999,00000;1001,23975;   4,29824; 289,97998;   0,26042;   4,24165;  42,10247;   0,00000;   0,62278;1662,59720;  86,07999;   8,22922;-9999,00000;  12,91391;   0,00000;   6,88737;  33,92939
2021-02-06 00:00:00; 33,22892;  29,20426;-9999,00000; 997,66940;   4,76572;  82,02183;   2,28223;   4,22757;  21,32509;   1,61786;   4,15714;1621,42710;  93,15580;   6,38198;-9999,00000;  12,75076;   0,00000;   6,65304;  33,28770
2021-02-09 00:00:00; 34,97425;  30,57090;-9999,00000; 987,57780;   4,51943; 162,69205;   3,69338;   4,22760;  33,16254;   0,62143;   4,03571;1749,13890;  94,02479;   4,63922;-9999,00000;  12,75442;   0,01285;   6,93701;  35,52891
2021-02-08 00:00:00; 35,25066;  30,15827;-9999,00000; 981,57830;   5,21601; 271,05148;   3,75874;   4,22740;  18,01786;   1,96043;   6,98561;1621,91980;  92,20401;   5,38505;-9999,00000;  12,66112;   0,01904;   6,27339;  34,39819
2021-02-07 00:00:00; 32,91088;  29,11721;-9999,00000; 988,94214;   5,00672; 111,68849;   2,35192;   4,23251;  36,62544;   2,07473;   8,22064;1593,57980;  93,26618;   6,30671;-9999,00000;  12,84083;   0,00151;   6,81473;  33,02365
2021-02-10 00:00:00; 35,04534;  30,90011;-9999,00000; 988,80743;   5,06714; 157,00623;   3,43206;   4,23786;  44,59220;   1,35357;   5,78214;1745,45140;  93,52005;   5,96184;-9999,00000;  12,82660;   0,02428;   7,06526;  36,32944
2021-02-21 00:00:00; 33,31087;  28,84020;-9999,00000;1013,93600;   2,80886; 146,12827;   0,69686;   4,24239; 119,89362;   2,61071;   8,20714;1831,71880;  84,22201;   5,01024;-9999,00000;  13,09896;   0,00000;   9,12036;  32,43739
2021-02-22 00:00:00; 33,01184;  28,53944;-9999,00000;1013,51654;   3,07774; 177,88945;   2,75261;   4,24263; 122,73852;   0,35000;   2,46429;1867,18410;  81,28095;   6,16219;-9999,00000;  13,11835;   0,00076;   9,21476;  32,11905
2021-02-23 00:00:00; 32,33110;  28,43428;-9999,00000;1017,68830;   3,66254; 353,19427;   2,56944;   4,24845; 127,38516;   0,38434;   3,16726;1855,06590;  81,50556;   7,27350;-9999,00000;  13,09306;   0,00000;   9,33025;  31,90005
2021-02-25 00:00:00; 31,73760;  28,32423;-9999,00000;1017,76324;   5,08936; 208,07376;   1,89895;   4,24719; 122,73852;   0,21071;   2,12143;1878,63640;  72,00743;   9,52721;-9999,00000;  13,03785;   0,00000;   9,04478;  31,50640
2021-02-24 00:00:00; 32,05251;  28,33137;-9999,00000;1021,14600;   4,50176; 301,07037;   2,47387;   4,24278; 118,79858;   0,03214;   0,95714;1867,28120;  77,63380;   8,26761;-9999,00000;  13,08107;   0,00000;   9,06505;  31,70433
2021-02-26 00:00:00; 31,46763;  28,21863;-9999,00000;1011,16020;   5,78838; 147,12494;   1,41869;   4,24741; 126,13075;   0,00356;   0,80427;1859,88540;  71,11414;  10,81620;-9999,00000;-9999,00000;   0,00000;   9,13885;  31,32424
2021-03-14 00:00:00; 32,57754;  28,92289;-9999,00000; 991,90515;   6,42827; 326,44556;   1,95122;   4,24459;  62,65018;   2,55160;   7,22420;1854,13890;  80,47687;   7,39929;-9999,00000;-9999,00000;   0,00680;   8,35734;  34,24092
2021-03-16 00:00:00; 33,21124;  29,82659;-9999,00000; 993,70620;   5,29505; 263,28427;   0,00000;   4,24719; 131,39577;   7,74643;  18,03571;2001,34030;  64,97953;   5,73499;-9999,00000;-9999,00000;   0,00000;  10,01422;  34,72528
