DATE; Napelem töltőfeszültség; Levegő-hőmérséklet; Talajhőmérséklet 0 cm; Talajnedvesség 90 cm; Szélirány; Csapadék; Szélsebesség; Talajnedvesség 120 cm; Talajnedvesség 30 cm; Belső akkufeszültség; Besugárzás; Légnyomás; Levegő-páratartalom; Talajnedvesség 60 cm; Külső akkufeszültség; Fagy; Levélnedvesség; Fényegység; Széllökés
2021-01-07 00:00:00; 7,49012;   3,15583;   5,38653;  23,65071; 256,14840;   0,00000;   3,60432;-9999,00000;  30,74012;   4,19321;  52,51773;1006,13605;  92,07534;-9999,00000;  12,82844;-9999,00000;   2,12281;1544,73960;   7,88849
2021-02-11 00:00:00; 6,70013;  -0,15461;   5,98541;  23,96809; 285,32397;   0,01169;   7,90217;-9999,00000;  32,11221;   4,19324;  15,67616;1002,64240;  95,07512;-9999,00000;  12,64614;-9999,00000;   1,40351;1376,80550;  14,66667
2021-02-09 00:00:00; 7,81808;   6,51514;   5,85142;  23,98319; 200,31517;   0,02239;   5,62230;-9999,00000;  31,79159;   4,19949;  53,49823; 994,03330;  92,37703;-9999,00000;  12,88691;-9999,00000;   2,79720;1614,34380;  10,67266
2021-02-15 00:00:00; 9,40075;  -1,85957;   2,10964;  23,44594; 308,36980;   0,00000;   2,37319;-9999,00000;  31,03568;   4,20773; 111,28114;1025,87290;  81,70568;-9999,00000;  13,16048;-9999,00000;   0,01761;1730,73610;   5,06159
2021-02-14 00:00:00; 8,93779;  -2,37473;   2,40071;  23,54674; 350,34595;   0,00000;   2,66304;-9999,00000;  31,09246;   4,20800;  95,30357;1026,08860;  78,34285;-9999,00000;  13,11973;-9999,00000;   0,00000;1764,11460;   6,00725
2021-02-13 00:00:00; 9,02070;  -6,91071;   2,91792;  23,71480; 356,14584;   0,00168;   2,74088;-9999,00000;  31,36223;   4,20237; 109,65950;1025,18700;  77,32505;-9999,00000;  13,02727;-9999,00000;   0,00000;1762,48960;   5,60219
2021-02-25 00:00:00; 9,22554;   9,10778;   6,38830;  23,08898;  22,28924;   0,00000;   1,01439;-9999,00000;  30,18132;   4,20745; 120,03521;1024,69270;  80,36095;-9999,00000;  13,04055;-9999,00000;   2,70175;1865,52450;   2,70504
2021-02-23 00:00:00; 9,37345;   7,27042;   4,83816;  23,09151; 231,05220;   0,00083;   1,23022;-9999,00000;  30,44888;   4,20819; 124,68198;1023,93750;  83,62573;-9999,00000;  13,08470;-9999,00000;   2,67483;1859,58340;   3,34173
2021-02-24 00:00:00; 9,32963;   8,05880;   5,67527;  23,08898; 323,65222;   0,00083;   0,91007;-9999,00000;  30,30297;   4,20671; 117,13781;1027,31100;  82,09879;-9999,00000;  13,05881;-9999,00000;   2,57840;1865,32980;   2,53597
2021-02-27 00:00:00; 9,38529;   6,73415;   6,88869;  23,08898;  61,19389;   0,00000;   4,67266;-9999,00000;  29,92381;   4,20666;  86,46643;1018,28125;  76,98560;-9999,00000;-9999,00000;-9999,00000;   1,52098;1815,53120;  11,56475
