DATE; Talajnedvesség 60 cm; Talajnedvesség 90 cm; Levegő-hőmérséklet; Levegő-páratartalom; Szélirány; Csapadék; Besugárzás; Talajhőmérséklet 0 cm; Szélsebesség; Széllökés; Talajnedvesség 30 cm
2021-02-02 00:00:00; 12,04452;  17,09404;  -0,10589;  99,92105; 139,39680;   0,00000;  21,82665;   2,70402;   0,93935;   1,41971;  13,09777
2021-02-03 00:00:00; 12,19651;  17,26940;   5,37030;  92,91483; 127,77062;   0,00151;  43,60294;   3,60860;   1,31297;   1,81227;  13,54112
2021-01-20 00:00:00; 11,11212;  16,52409;   6,29405;  77,57935; 165,04560;   0,00000;  34,36026;   2,62133;   1,33996;   1,79181;  10,74035
2021-03-20 00:00:00; 10,85041;  15,64386;   1,74672;  82,77335; 343,28595;   0,00000;  77,52718;   4,94193;   0,98512;   1,43999;  10,81430
2021-03-19 00:00:00; 10,82548;  15,65959;   2,99277;  81,92760;  30,57986;   0,00302;  84,76935;   5,80656;   0,73849;   1,14618;  11,05411
2021-03-21 00:00:00; 10,82938;  15,62803;   2,51881;  56,65109; 313,72920;   0,00000; 126,57518;   4,53050;   1,37470;   1,90153;  10,55907
2021-03-23 00:00:00; 10,79238;  15,62640;   4,96629;  63,61836; 315,43338;   0,00000; 105,70094;   4,99731;   1,53525;   2,21046;  10,06972
2021-03-22 00:00:00; 10,81595;  15,61969;   3,69343;  78,48244; 307,98590;   0,00000;  53,02646;   5,09355;   1,75796;   2,43527;  10,32491
2021-04-06 00:00:00; 10,10747;  15,56291;   5,20155;  57,28565; 298,07767;   0,00000;  71,62917;   8,50139;   1,76480;   2,49402;   6,07140
2021-04-07 00:00:00; 10,02153;  15,52440;   4,03987;  64,81966; 260,22165;   0,00000; 102,05313;   7,60292;   1,46924;   2,10331;   5,88690
2021-04-09 00:00:00; 9,86088;  15,41860;   6,66098;  59,29919; 108,74487;   0,00000; 150,76259;   7,92177;   1,26360;   1,81290;   5,63796
