DATE; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Széllökés; Szélirány; Talajhőmérséklet 0 cm; Levegő-hőmérséklet; Szélsebesség; Fagy; Fényegység; Talajnedvesség 90 cm; Levegő-páratartalom; Külső akkufeszültség; Légnyomás; Levélnedvesség; Besugárzás; Napelem töltőfeszültség; Belső akkufeszültség; Csapadék
2021-04-30 03:00:00; 24,98705;  28,80102;  14,13559; 174,37907;  13,20000;  12,02500;  10,49153;-9999,00000;2642,91670;  25,34998;  86,54283;  12,95947;1002,12010;   0,00000;   4,08333;  11,90838;   4,23327;   0,00000
2021-04-29 22:00:00; 24,95670;  28,90791;  10,36207; 170,11604;  14,31016;  13,40169;   7,96552;-9999,00000; 363,58334;  25,34998;  83,86781;  13,03725;1001,01220;   0,00000;   0,00000;   0,00000;   4,23467;   0,00000
2021-04-30 04:00:00; 24,96073;  28,80102;  17,93103; 187,14621;  13,06610;  12,22543;  13,10345;-9999,00000;3895,00000;  25,34998;  86,22577;  12,97310;1002,93740;   0,00000;  30,67797;  16,77362;   4,23393;   0,00000
2021-04-29 20:00:00; 24,89821;  28,93613;   8,56897; 173,06982;  15,11864;  14,04407;   6,65517;-9999,00000; 336,40000;  25,34998;  81,41236;  13,09677;1000,74740;   0,00000;   0,00000;   0,00000;   4,23612;   0,00000
2021-04-29 21:00:00; 24,94424;  28,92001;   9,65517; 165,64738;  14,66166;  13,50678;   7,34483;-9999,00000; 536,40000;  25,34998;  82,93118;  13,06566;1000,93890;   0,00000;   0,00000;   0,00000;   4,23582;   0,00000
2021-04-29 18:00:00; 24,87401;  29,03898;  14,46552; 193,03024;  16,25499;  17,32667;  11,08621;-9999,00000; 588,85000;  25,34998;  67,95333;  13,15312;1000,32500;   0,00000;   0,00000;   0,50595;   4,23565;   0,00000
2021-04-29 19:00:00; 24,87996;  29,00329;   8,81034; 160,91400;  15,65833;  15,08474;   6,56897;-9999,00000; 560,30000;  25,34998;  78,39101;  13,12640;1000,50010;   0,00000;   0,00000;   0,00000;   4,23607;   0,00000
2021-04-29 16:00:00; 24,90628;  29,03091;  12,36207; 177,11760;  17,10667;  20,35000;   9,17241;-9999,00000;3895,00000;  25,34998;  54,48190;  13,29385; 999,69460;   0,00000;  67,50000;  17,86032;   4,23697;   0,00000
2021-04-29 17:00:00; 24,98130;  29,03898;  11,40678; 182,55045;  16,66999;  18,90500;   8,76271;-9999,00000;3073,20000;  25,34998;  58,87800;  13,19153; 999,84330;   0,00000;   7,29508;  12,20560;   4,23593;   0,00000
2021-04-29 15:00:00; 24,87401;  28,99412;  16,62069; 179,24129;  17,20501;  21,48000;  12,18966;-9999,00000;3895,00000;  25,34998;  51,52450;  13,42912;1000,00160;   0,00000; 197,08333;  19,52292;   4,23837;   0,00000
