DATE; Széllökés; Fényegység; Napelem töltőfeszültség; Szélirány; Talajnedvesség 120 cm; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Levegő-hőmérséklet; Besugárzás; Talajnedvesség 90 cm; Levélnedvesség; Légnyomás; Belső akkufeszültség; Szélsebesség; Levegő-páratartalom; Fagy; Csapadék; Külső akkufeszültség; Talajhőmérséklet 0 cm
2021-03-28 05:00:00; 3,00000;3895,00000;  16,84350; 333,10745;-9999,00000;  28,08699;  30,46700;   8,45833;  49,16667;  28,96327;   0,00000;1014,97490;   4,23592;   0,00000;  64,41750;-9999,00000;   0,00000;-9999,00000;   6,60000
2021-03-28 04:00:00; 5,83333;1597,08340;   6,08767; 331,18906;-9999,00000;  28,08700;  30,46700;   8,30000;   4,58333;  29,02908;   0,00000;1013,99170;   4,23667;   1,41667;  63,31000;-9999,00000;   0,00000;-9999,00000;   6,67500
2021-03-28 03:00:00; 8,72727;  10,33333;   0,00000; 336,83040;-9999,00000;  28,08700;  30,46700;   8,56667;   0,00000;  28,58283;   0,00000;1013,05835;   4,23633;   1,91667;  61,39667;-9999,00000;   0,00000;-9999,00000;   6,80000
2021-03-28 01:00:00; 11,75000; 331,83334;   0,00000;  31,74808;-9999,00000;  28,08700;  30,46700;   8,76364;   0,00000;  28,74150;   0,00000;1011,81820;   4,23950;   3,83333;  60,04091;-9999,00000;   0,00000;-9999,00000;   7,05833
2021-03-28 00:00:00; 18,54545; 326,91666;   0,00000; 152,67012;-9999,00000;  28,08700;  30,46700;   9,67500;   0,00000;  28,83075;   0,00000;1011,37494;   4,16092;   7,00000;  57,90916;-9999,00000;   0,00000;-9999,00000;   7,24167
2021-03-25 23:00:00; 0,00000;   1,75000;   0,00000; 224,51627;-9999,00000;  28,20600;  31,75616;  -0,45833;   0,00000;  28,84066;   0,00000;1007,91670;   4,24167;   0,00000;  81,12917;-9999,00000;   0,00000;-9999,00000;   4,85000
2021-03-26 22:00:00; 0,91667;   0,00000;   0,00000; 156,47813;-9999,00000;  28,08700;  31,06200;   3,12500;   0,00000;  28,53325;   0,00000;1008,27490;   4,24242;   0,00000;  75,06584;-9999,00000;   0,00000;-9999,00000;   6,27500
2021-03-26 21:00:00; 0,00000; 156,75000;   0,00000; 104,83586;-9999,00000;  28,08700;  31,16116;   2,80000;   0,00000;  28,18616;   0,00000;1008,28320;   4,24333;   0,00000;  76,80750;-9999,00000;   0,00000;-9999,00000;   6,60000
2021-03-26 20:00:00; 0,00000; 323,83334;   0,00000; 104,86782;-9999,00000;  28,08700;  31,18100;   3,91667;   0,00000;  28,00766;   0,00000;1008,24170;   4,24450;   0,00000;  73,88583;-9999,00000;   0,00000;-9999,00000;   6,95833
2021-03-26 19:00:00; 0,58333;   0,25000;   0,00000; 104,86782;-9999,00000;  28,09782;  31,18100;   4,57273;   0,00000;  27,91390;   0,00000;1008,12730;   4,24725;   0,08333;  72,45909;-9999,00000;   0,00000;-9999,00000;   7,35455
2021-03-26 18:00:00; 0,45455;   0,25000;   0,00000; 144,92766;-9999,00000;  28,08700;  31,18100;   7,93333;   0,00000;  27,69033;   0,00000;1007,73334;   4,24808;   0,00000;  60,10083;-9999,00000;   0,00000;-9999,00000;   7,77500
2021-03-26 17:00:00; 0,16667;1392,91660;   2,73900; 177,36060;-9999,00000;  28,10683;  31,18100;  11,14167;   1,36364;  27,71017;   0,00000;1007,22504;   4,25025;   0,00000;  51,85916;-9999,00000;   0,00000;-9999,00000;   8,21667
2021-03-26 16:00:00; 0,75000;3895,00000;  15,58833; 176,68637;-9999,00000;  28,10683;  31,18100;  14,41667;  56,25000;  27,80933;   0,00000;1006,77496;   4,25175;   0,00000;  44,13916;-9999,00000;   0,00000;-9999,00000;   8,56667
2021-03-26 15:00:00; 3,66667;3895,00000;  17,76217; 171,93365;-9999,00000;  28,09691;  31,18100;  15,78333; 197,08333;  27,89858;   0,00000;1006,73334;   4,25367;   0,16667;  39,86083;-9999,00000;   0,00000;-9999,00000;   8,79167
2021-03-26 14:00:00; 6,45455;3895,00000;  20,32725; 176,03800;-9999,00000;  28,13658;  31,20083;  16,00000; 342,50000;  28,11675;   0,00000;1007,04170;   4,25500;   1,00000;  38,70334;-9999,00000;   0,00000;-9999,00000;   8,67500
2021-03-26 13:00:00; 5,58333;3895,00000;  20,66775; 159,39049;-9999,00000;  28,19608;  31,29999;  16,15833; 482,50000;  29,13816;   0,00000;1007,38330;   4,25658;   0,58333;  39,11000;-9999,00000;   0,00000;-9999,00000;   8,26667
2021-03-26 12:00:00; 5,08333;3895,00000;  20,95350; 155,38182;-9999,00000;  28,17625;  31,39916;  15,60909; 569,16670;  29,16792;   0,00000;1007,90000;   4,25575;   0,75000;  40,18454;-9999,00000;   0,00000;-9999,00000;   7,63333
2021-03-26 11:00:00; 6,33333;3895,00000;  21,00433; 183,56938;-9999,00000;  28,20600;  31,48391;  14,80000; 622,08330;  29,01736;   0,00000;1008,59160;   4,25425;   1,25000;  41,50667;-9999,00000;   0,00000;-9999,00000;   6,81818
2021-03-26 10:00:00; 5,33333;3895,00000;  20,91717; 211,79033;-9999,00000;  28,18616;  31,53800;  14,19167; 625,00000;  26,84741;   0,00000;1009,09180;   4,25700;   0,75000;  42,16500;-9999,00000;   0,00000;-9999,00000;   5,93333
2021-03-26 09:00:00; 7,18182;3895,00000;  20,84875; 189,54877;-9999,00000;  28,20600;  31,53800;  13,20000; 575,90910;  27,45233;   0,00000;1009,33330;   4,25717;   0,90909;  47,77916;-9999,00000;   0,00000;-9999,00000;   4,97500
2021-03-26 08:00:00; 4,58333;3895,00000;  20,91733; 214,21193;-9999,00000;  28,20600;  31,53800;  11,46667; 489,58334;  28,82083;   0,00000;1009,41675;   4,25583;   0,16667;  55,78083;-9999,00000;   0,00000;-9999,00000;   4,16667
2021-03-26 07:00:00; 2,25000;3895,00000;  21,35558; 255,28986;-9999,00000;  28,18616;  31,53800;   8,50833; 362,91666;  29,05883;   0,00000;1009,18335;   4,25967;   0,00000;  63,90334;-9999,00000;   0,00000;-9999,00000;   3,63333
2021-03-26 06:00:00; 0,72727;3895,00000;  21,40850; 235,18280;-9999,00000;  28,20600;  31,53800;   4,72500; 215,00000;  29,34641;   1,66667;1008,97504;   4,25458;   0,00000;  72,06750;-9999,00000;   0,00000;-9999,00000;   3,40000
2021-03-26 05:00:00; 0,00000;3895,00000;  18,15133; 224,51627;-9999,00000;  28,18616;  31,57766;  -0,79091;  57,08333;  29,32658;   0,00000;1008,89087;   4,23833;   0,00000;  84,50364;-9999,00000;   0,00000;-9999,00000;   3,53333
2021-03-26 04:00:00; 0,00000;1959,50000;   8,69975; 224,51627;-9999,00000;  28,20600;  31,65699;  -2,05000;   3,63636;  29,00654;   0,00000;1008,52510;   4,23683;   0,00000;  86,94833;-9999,00000;   0,00000;-9999,00000;   3,70909
2021-03-26 03:00:00; 0,00000; 333,16666;   0,00000; 224,51627;-9999,00000;  28,20600;  31,65699;  -1,90833;   0,00000;  28,83074;   0,00000;1008,30005;   4,23733;   0,00000;  86,78167;-9999,00000;   0,00000;-9999,00000;   3,87500
2021-03-26 02:00:00; 0,00000; 156,91667;   0,00000; 224,39874;-9999,00000;  28,20600;  31,65699;  -1,97273;   0,00000;  28,82083;   0,00000;1008,06366;   4,23808;   0,00000;  85,64273;-9999,00000;   0,00000;-9999,00000;   4,11667
2021-03-26 01:00:00; 0,00000; 325,41666;   0,00000; 224,51627;-9999,00000;  28,20600;  31,65699;  -1,51667;   0,00000;  28,82263;   0,00000;1007,92505;   4,23883;   0,00000;  84,54417;-9999,00000;   0,00000;-9999,00000;   4,34545
2021-03-26 00:00:00; 0,00000;   1,25000;   0,00000; 224,51627;-9999,00000;  28,20600;  31,65699;  -1,08333;   0,00000;  28,82083;   0,00000;1007,98340;   4,24017;   0,00000;  83,68666;-9999,00000;   0,00000;-9999,00000;   4,57500
2021-03-26 23:00:00; 0,08333;   0,66667;   0,00000; 166,89122;-9999,00000;  28,08699;  31,06200;   1,42500;   0,00000;  28,68200;   0,00000;1008,24980;   4,24133;   0,00000;  78,45416;-9999,00000;   0,00000;-9999,00000;   5,98182
2021-03-27 22:00:00; 11,58333;   1,66667;   0,00000; 321,31840;-9999,00000;  28,08700;  30,46700;  10,54167;   0,00000;  28,59275;   0,00000;1009,93335;   4,24267;   4,25000;  62,45084;-9999,00000;   0,00000;-9999,00000;   7,60833
2021-03-27 21:00:00; 8,18182;   2,08333;   0,00000;   7,55500;-9999,00000;  28,08700;  30,46700;  11,41667;   0,00000;  28,79107;   0,00000;1009,11664;   4,24425;   2,09091;  69,92333;-9999,00000;   0,00000;-9999,00000;   7,82500
2021-03-27 20:00:00; 0,83333;   8,58333;   0,00000; 276,86975;-9999,00000;  28,08700;  30,46700;  10,33333;   0,00000;  28,76133;   0,00000;1008,40826;   4,24658;   0,00000;  73,60416;-9999,00000;   0,00000;-9999,00000;   8,05000
2021-03-27 19:00:00; 1,58333;   2,58333;   0,00000; 260,25830;-9999,00000;  28,08700;  30,46700;   9,95454;   0,00000;  28,75141;   0,00000;1007,66364;   4,24733;   0,41667;  73,19183;-9999,00000;   0,00000;-9999,00000;   8,32500
2021-03-27 18:00:00; 4,00000; 326,83334;   0,00000; 264,57626;-9999,00000;  28,08699;  30,49945;  10,37500;   0,00000;  28,72527;   0,00000;1006,73334;   4,24800;   1,08333;  65,01500;-9999,00000;   0,00000;-9999,00000;   8,65455
2021-03-27 17:00:00; 3,27273;1154,91660;   2,94633; 261,06433;-9999,00000;  28,08700;  30,58600;  12,58333;   1,66667;  28,77125;   0,00000;1005,98334;   4,25008;   0,36364;  57,48333;-9999,00000;   0,00000;-9999,00000;   8,97500
2021-03-27 16:00:00; 5,00000;3895,00000;  15,74383; 265,77258;-9999,00000;  28,08700;  30,57608;  16,53333;  62,91667;  28,85058;   0,00000;1005,51666;   4,25108;   0,75000;  46,64084;-9999,00000;   0,00000;-9999,00000;   9,23333
2021-03-27 15:00:00; 10,58333;3895,00000;  18,17692; 266,47797;-9999,00000;  28,08700;  30,58600;  18,65833; 195,41667;  28,90016;   0,00000;1005,17505;   4,25558;   3,00000;  41,02000;-9999,00000;   0,00000;-9999,00000;   9,29167
